상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2016-06-09,03관,"08:20,  워크래프트: 전쟁의 서막(디지털),  6,000원","10:50,  워크래프트: 전쟁의 서막(디지털),  8,000원","13:20,  워크래프트: 전쟁의 서막(디지털),  9,000원","15:50,  워크래프트: 전쟁의 서막(디지털),  9,000원","18:20,  워크래프트: 전쟁의 서막(디지털),  9,000원","20:50,  워크래프트: 전쟁의 서막(디지털),  9,000원","23:20,  워크래프트: 전쟁의 서막(디지털),  8,000원",,,,,,102
2016-06-09,04관,"09:20,  아가씨(디지털),  6,000원","12:10,  곡성(디지털),  8,000원","15:10,  아가씨(디지털),  9,000원","18:00,  곡성(디지털),  9,000원","21:00,  아가씨(디지털),  9,000원","23:50,  곡성(디지털),  8,000원",,,,,,,99
2016-06-09,05관,"08:30,  정글북(디지털),  6,000원","10:40,  정글북(디지털),  8,000원","12:50,  정글북(디지털),  8,000원","15:00,  정글북(디지털더빙),  9,000원","17:10,  정글북(디지털더빙),  9,000원","19:20,  정글북(디지털),  9,000원","21:30,  정글북(디지털),  7,000원","23:40,  정글북(디지털),  8,000원",,,,,232
2016-06-10,01관,"08:00,  아가씨(디지털),  7,000원","10:50,  아가씨(디지털),  10,000원","13:40,  아가씨(디지털),  11,000원","16:30,  아가씨(디지털),  11,000원","19:20,  아가씨(디지털),  11,000원","22:10,  아가씨(디지털),  11,000원",,,,,,,102
2016-06-10,02관,"08:00,  엑스맨: 아포칼립스(디지털),  7,000원","10:50,  컨저링 2(디지털),  10,000원","13:25,  컨저링 2(디지털),  11,000원","16:00,  엑스맨: 아포칼립스(디지털),  11,000원","18:50,  컨저링 2(디지털),  11,000원","21:25,  컨저링 2(디지털),  11,000원","24:00,  아가씨(디지털),  9,000원",,,,,,99
2016-06-10,03관,"08:20,  워크래프트: 전쟁의 서막(디지털),  7,000원","10:50,  워크래프트: 전쟁의 서막(디지털),  0원","13:20,  워크래프트: 전쟁의 서막(디지털),  8,000원","15:50,  워크래프트: 전쟁의 서막(디지털),  11,000원","18:20,  워크래프트: 전쟁의 서막(디지털),  11,000원","20:50,  워크래프트: 전쟁의 서막(디지털),  11,000원","23:20,  워크래프트: 전쟁의 서막(디지털),  9,000원",,,,,,102
2016-06-10,04관,"09:20,  아가씨(디지털),  7,000원","12:10,  곡성(디지털),  10,000원","15:10,  아가씨(디지털),  11,000원","18:00,  곡성(디지털),  11,000원","21:00,  아가씨(디지털),  11,000원","23:50,  곡성(디지털),  9,000원",,,,,,,99
2016-06-10,05관,"08:30,  정글북(디지털),  7,000원","10:40,  정글북(디지털),  8,000원","12:50,  정글북(디지털),  10,000원","15:00,  정글북(디지털더빙),  9,000원","17:10,  정글북(디지털더빙),  11,000원","19:20,  정글북(디지털),  11,000원","21:30,  정글북(디지털),  11,000원","23:40,  정글북(디지털),  9,000원",,,,,232
2016-06-11,01관,"09:00,  아가씨(디지털),  7,000원","11:50,  아가씨(디지털),  10,000원","14:40,  아가씨(디지털),  11,000원","17:30,  아가씨(디지털),  11,000원","20:20,  아가씨(디지털),  11,000원","23:10,  아가씨(디지털),  9,000원",,,,,,,102
2016-06-11,02관,"09:40,  워크래프트: 전쟁의 서막(디지털),  7,000원","12:10,  곡성(디지털),  10,000원","15:10,  앵그리버드 더 무비(디지털더빙),  11,000원","17:20,  정글북(디지털더빙),  11,000원","19:30,  곡성(디지털),  11,000원","22:30,  아가씨(디지털),  11,000원",,,,,,,99
2016-06-11,03관,"08:00,  워크래프트: 전쟁의 서막(디지털),  7,000원","10:30,  워크래프트: 전쟁의 서막(디지털),  10,000원","13:00,  워크래프트: 전쟁의 서막(디지털),  11,000원","15:30,  워크래프트: 전쟁의 서막(디지털),  11,000원","18:00,  워크래프트: 전쟁의 서막(디지털),  11,000원","20:30,  워크래프트: 전쟁의 서막(디지털),  11,000원","23:00,  워크래프트: 전쟁의 서막(디지털),  9,000원",,,,,,102
