상영일자,상영관,1회,2회,좌석수
2019-05-24,02관,"18:00,  음란 과외 2(디지털),  20,000원",,200
2019-05-30,01관,"18:00,  어린 엄마 3(디지털),  20,000원",,200
2019-05-30,02관,"19:00,  처제는, 처제와, 처제의...(디지털),  20,000원",,200
2019-06-06,02관,"18:00,  막내 형수(디지털),  20,000원",,200
2019-06-07,01관,"18:00,  오피스텔-잘하는애들로(디지털),  20,000원",,200
2019-06-07,02관,"18:00,  아빠와 딸(디지털),  20,000원",,200
2019-06-14,02관,"18:00,  보도드라이버: 풀코스(디지털),  20,000원",,200
2019-06-19,02관,"18:00,  누나의 맛(디지털),  20,000원",,200
2019-06-20,01관,"20:20,  롱 리브 더 킹: 목포 영웅(디지털)",,200
2019-06-20,02관,"20:20,  맨 인 블랙: 인터내셔널(디지털)",,200
2019-06-21,01관,"20:20,  롱 리브 더 킹: 목포 영웅(디지털)",,200
2019-06-21,02관,"20:20,  맨 인 블랙: 인터내셔널(디지털)",,200
2019-06-22,01관,"20:20,  롱 리브 더 킹: 목포 영웅(디지털)",,200
2019-06-22,02관,"20:20,  맨 인 블랙: 인터내셔널(디지털)",,200
2019-06-23,01관,"20:20,  롱 리브 더 킹: 목포 영웅(디지털)",,200
2019-06-23,02관,"20:20,  맨 인 블랙: 인터내셔널(디지털)",,200
2019-06-24,01관,"20:20,  롱 리브 더 킹: 목포 영웅(디지털)",,200
2019-06-24,02관,"20:20,  맨 인 블랙: 인터내셔널(디지털)",,200
2019-06-25,02관,"23:00,  기생충(디지털)",,200
2019-06-30,02관,"22:00,  롱 리브 더 킹: 목포 영웅(디지털),  20,000원",,200
2019-07-01,01관,"18:00,  이모의유혹2(디지털)",,200
2019-07-01,02관,"22:00,  롱 리브 더 킹: 목포 영웅(디지털)",,200
2019-07-02,01관,"18:00,  이모의유혹2(디지털)",,200
2019-07-02,02관,"22:00,  롱 리브 더 킹: 목포 영웅(디지털)",,200
2019-07-03,01관,"18:00,  이모의유혹2(디지털)",,200
2019-07-03,02관,"22:00,  롱 리브 더 킹: 목포 영웅(디지털)",,200
2019-07-04,01관,"18:00,  이모의유혹2(디지털)",,200
2019-07-05,01관,"18:00,  이모의유혹2(디지털),  20,000원",,200
2019-07-11,02관,"18:00,  딸의 친구 4(디지털),  20,000원",,200
