상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2015-02-03,02관,,"15:30,  생각보다 맑은(디지털),  6,000원","17:10,  미라클 여행기(디지털),  4,000원","18:50,  생각보다 맑은(디지털),  6,000원",,,136
2015-02-03,03관,"13:20,  아이 킬드 마이 마더(디지털),  6,000원","15:20,  아메리칸 셰프(디지털),  6,000원","17:30,  트라이브(디지털),  6,000원","20:00,  빅 아이즈(디지털),  6,000원",,,98
2015-02-04,01관,"13:50,  내일을 위한 시간(디지털),  6,000원","15:40,  나의 사적인 여자친구(디지털),  6,000원","17:50,  이별까지 7일(디지털),  6,000원","20:10,  유아 낫 유(디지털),  6,000원",,,112
2015-02-04,02관,"13:30,  쿼바디스(디지털),  6,000원","15:30,  생각보다 맑은(디지털),  6,000원",,"18:50,  생각보다 맑은(디지털),  6,000원",,,136
2015-02-04,03관,"14:00,  빅 아이즈(디지털),  6,000원","17:30,  트라이브(디지털),  6,000원","20:00,  아메리칸 셰프(디지털),  6,000원",,,,98
2015-02-05,01관,"14:00,  유아 낫 유(디지털),  6,000원","16:10,  오마르(디지털),  6,000원","18:10,  내일을 위한 시간(디지털),  6,000원","20:00,  나의 사적인 여자친구(디지털),  6,000원",,,112
2015-02-05,02관,"13:40,  망원동 인공위성(디지털),  6,000원","15:50,  미라클 여행기(디지털),  6,000원","18:30,  망원동 인공위성(디지털),  6,000원","20:40,  생각보다 맑은(디지털),  6,000원",,,136
2015-02-05,03관,"13:20,  빅 아이즈(디지털),  6,000원","15:30,  트라이브(디지털),  6,000원","18:00,  아메리칸 셰프(디지털),  6,000원","20:10,  서유기 : 모험의 시작(디지털),  6,000원",,,98
2015-02-06,01관,,"16:10,  오마르(디지털),  8,000원","18:10,  내일을 위한 시간(디지털),  8,000원","20:00,  나의 사적인 여자친구(디지털),  8,000원",,,112
2015-02-06,02관,,"15:20,  망원동 인공위성(디지털),  8,000원","17:30,  생각보다 맑은(디지털),  8,000원","19:30,  미라클 여행기(디지털),  8,000원",,,136
2015-02-06,03관,"13:20,  빅 아이즈(디지털),  8,000원","15:30,  트라이브(디지털),  8,000원","18:00,  아메리칸 셰프(디지털),  8,000원","20:10,  서유기 : 모험의 시작(디지털),  5,000원",,,98
2015-02-07,01관,"14:00,  유아 낫 유(디지털),  8,000원","16:10,  오마르(디지털),  8,000원","18:10,  내일을 위한 시간(디지털),  8,000원","20:00,  나의 사적인 여자친구(디지털),  8,000원",,,112
2015-02-07,02관,,"15:50,  미라클 여행기(디지털),  8,000원","18:30,  망원동 인공위성(디지털),  8,000원","20:40,  생각보다 맑은(디지털),  8,000원",,,136
2015-02-07,03관,"13:20,  빅 아이즈(디지털),  8,000원","15:30,  트라이브(디지털),  8,000원","18:00,  아메리칸 셰프(디지털),  8,000원","20:10,  서유기 : 모험의 시작(디지털),  8,000원",,,98
2015-02-08,01관,"14:00,  유아 낫 유(디지털),  8,000원","16:10,  오마르(디지털),  8,000원","18:10,  내일을 위한 시간(디지털),  8,000원","20:00,  나의 사적인 여자친구(디지털),  8,000원",,,112
2015-02-08,02관,,"15:50,  미라클 여행기(디지털),  8,000원","18:30,  망원동 인공위성(디지털),  8,000원","20:40,  생각보다 맑은(디지털),  8,000원",,,136
2015-02-08,03관,"13:20,  빅 아이즈(디지털),  8,000원","15:30,  트라이브(디지털),  8,000원","18:00,  아메리칸 셰프(디지털),  8,000원",,,,98
2015-02-10,01관,"14:00,  유아 낫 유(디지털),  6,000원","16:10,  오마르(디지털),  6,000원","18:10,  내일을 위한 시간(디지털),  6,000원","20:00,  나의 사적인 여자친구(디지털),  6,000원",,,112
2015-02-10,02관,"13:40,  망원동 인공위성(디지털),  6,000원",,"18:30,  망원동 인공위성(디지털),  6,000원","20:40,  생각보다 맑은(디지털),  6,000원",,,136
2015-02-10,03관,"13:20,  빅 아이즈(디지털),  6,000원","15:30,  트라이브(디지털),  6,000원","18:00,  아메리칸 셰프(디지털),  6,000원","20:10,  서유기 : 모험의 시작(디지털),  6,000원",,,98
2015-02-11,01관,"14:00,  유아 낫 유(디지털),  6,000원","16:10,  오마르(디지털),  6,000원","18:10,  내일을 위한 시간(디지털),  6,000원","20:00,  나의 사적인 여자친구(디지털),  6,000원",,,112
2015-02-11,02관,,"15:50,  미라클 여행기(디지털),  6,000원","18:30,  망원동 인공위성(디지털),  6,000원","20:40,  생각보다 맑은(디지털),  6,000원",,,136
2015-02-11,03관,"13:20,  빅 아이즈(디지털),  6,000원","15:30,  트라이브(디지털),  6,000원","18:00,  아메리칸 셰프(디지털),  6,000원","20:10,  서유기 : 모험의 시작(디지털),  6,000원",,,98
2015-02-12,01관,"13:30,  리틀 포레스트: 여름과 가을(디지털),  6,000원","15:40,  폭스캐처(디지털),  6,000원","18:20,  유아 낫 유(디지털),  6,000원","20:20,  오마르(디지털),  6,000원",,,112
2015-02-12,02관,"14:00,  꿈보다 해몽(디지털),  6,000원","16:00,  망원동 인공위성(디지털),  6,000원",,,,,136
2015-02-12,03관,,"15:30,  아메리칸 셰프(디지털),  6,000원","17:40,  서유기 : 모험의 시작(디지털),  6,000원","19:50,  트라이브(디지털),  6,000원",,,98
2015-02-13,01관,"13:30,  리틀 포레스트: 여름과 가을(디지털),  8,000원","15:40,  폭스캐처(디지털),  8,000원","18:20,  유아 낫 유(디지털),  8,000원",,,,112
2015-02-13,02관,"14:00,  꿈보다 해몽(디지털),  8,000원",,"19:00,  미라클 여행기(디지털),  5,000원",,,,136
2015-02-13,03관,,"15:30,  아메리칸 셰프(디지털),  8,000원",,"19:50,  트라이브(디지털),  8,000원",,,98
2015-02-14,01관,"13:30,  리틀 포레스트: 여름과 가을(디지털),  8,000원","15:40,  유아 낫 유(디지털),  8,000원","18:00,  리틀 포레스트: 여름과 가을(디지털),  8,000원","20:20,  오마르(디지털),  8,000원",,,112
2015-02-14,02관,"16:00,  폭스캐처(디지털),  8,000원","14:00,  꿈보다 해몽(디지털),  8,000원",,,,,136
2015-02-14,03관,"13:20,  서유기 : 모험의 시작(디지털),  8,000원","15:30,  아메리칸 셰프(디지털),  8,000원",,"19:50,  트라이브(디지털),  8,000원",,,98
2015-02-15,01관,"13:30,  리틀 포레스트: 여름과 가을(디지털),  8,000원","15:40,  폭스캐처(디지털),  8,000원","18:20,  유아 낫 유(디지털),  8,000원","20:20,  오마르(디지털),  8,000원",,,112
2015-02-15,02관,"14:00,  꿈보다 해몽(디지털),  8,000원","16:00,  망원동 인공위성(디지털),  8,000원","18:10,  꿈보다 해몽(디지털),  5,000원",,,,136
2015-02-15,03관,"13:20,  서유기 : 모험의 시작(디지털),  8,000원","15:30,  아메리칸 셰프(디지털),  8,000원","17:40,  서유기 : 모험의 시작(디지털),  8,000원","19:50,  트라이브(디지털),  8,000원",,,98
2015-02-17,01관,"13:30,  리틀 포레스트: 여름과 가을(디지털),  6,000원","15:40,  폭스캐처(디지털),  6,000원","18:20,  유아 낫 유(디지털),  6,000원","20:20,  오마르(디지털),  6,000원",,,112
2015-02-17,02관,"14:00,  꿈보다 해몽(디지털),  6,000원","16:00,  망원동 인공위성(디지털),  6,000원","18:10,  꿈보다 해몽(디지털),  6,000원","20:10,  망원동 인공위성(디지털),  6,000원",,,136
2015-02-17,03관,,"15:30,  아메리칸 셰프(디지털),  6,000원","17:40,  서유기 : 모험의 시작(디지털),  6,000원","19:50,  트라이브(디지털),  6,000원",,,98
2015-02-18,01관,"13:30,  리틀 포레스트: 여름과 가을(디지털),  8,000원","15:40,  폭스캐처(디지털),  8,000원","18:20,  유아 낫 유(디지털),  8,000원","20:20,  오마르(디지털),  8,000원",,,112
2015-02-18,02관,"14:00,  꿈보다 해몽(디지털),  8,000원",,"18:10,  꿈보다 해몽(디지털),  8,000원","20:10,  망원동 인공위성(디지털),  8,000원",,,136
2015-02-18,03관,"13:20,  서유기 : 모험의 시작(디지털),  8,000원","15:30,  아메리칸 셰프(디지털),  8,000원","17:40,  서유기 : 모험의 시작(디지털),  8,000원","19:50,  트라이브(디지털),  8,000원",,,98
2015-02-19,01관,"13:00,  갓 헬프 더 걸(디지털),  8,000원","15:10,  리틀 포레스트: 여름과 가을(디지털),  8,000원","17:30,  백설공주 살인사건(디지털),  8,000원","20:00,  리틀 포레스트: 여름과 가을(디지털),  8,000원",,,112
2015-02-19,02관,,"16:10,  꿈보다 해몽(디지털),  8,000원",,"20:20,  꿈보다 해몽(디지털),  8,000원",,,136
2015-02-19,03관,"13:10,  웰컴, 삼바(디지털),  8,000원","15:30,  이다(디지털),  8,000원","17:10,  트라이브(디지털),  8,000원","19:40,  폭스캐처(디지털),  8,000원",,,98
