상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2017-07-08,02관,"10:10,  박열(디지털),  7,000원","12:50,  박열(디지털),  10,000원","15:30,  박열(디지털),  11,000원","18:05,  박열(디지털),  11,000원","20:40,  박열(디지털),  11,000원","23:15,  박열(디지털),  7,000원",,,,,,,,,119
2017-07-08,03관,"09:30,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙),  6,000원","11:00,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙),  7,000원","12:30,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙),  7,000원","13:55,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙),  7,000원","15:20,  트랜스포머: 최후의 기사(디지털),  11,000원","18:20,  트랜스포머: 최후의 기사(디지털),  11,000원","21:20,  트랜스포머: 최후의 기사(디지털),  11,000원","24:20,  트랜스포머: 최후의 기사(디지털),  7,000원",,,,,,,119
2017-07-08,04관,"09:40,  스파이더맨: 홈 커밍(디지털),  7,000원","12:25,  스파이더맨: 홈 커밍(디지털),  10,000원","15:10,  스파이더맨: 홈 커밍(디지털),  11,000원","17:55,  스파이더맨: 홈 커밍(디지털),  11,000원","20:40,  스파이더맨: 홈 커밍(디지털),  11,000원","23:25,  스파이더맨: 홈 커밍(디지털),  7,000원",,,,,,,,,144
2017-07-08,05관,"09:20,  박열(디지털),  7,000원","11:55,  박열(디지털),  10,000원","14:30,  박열(디지털),  11,000원","17:05,  박열(디지털),  11,000원","19:40,  박열(디지털),  11,000원","22:15,  박열(디지털),  11,000원",,,,,,,,,119
2017-07-08,06관,"10:20,  스파이더맨: 홈 커밍(디지털),  7,000원","13:05,  스파이더맨: 홈 커밍(디지털),  11,000원","15:50,  스파이더맨: 홈 커밍(디지털),  11,000원","18:35,  스파이더맨: 홈 커밍(디지털),  11,000원","21:20,  스파이더맨: 홈 커밍(디지털),  11,000원","24:05,  스파이더맨: 홈 커밍(디지털),  7,000원",,,,,,,,,87
2017-07-08,07관,"09:10,  리얼(디지털),  6,000원","12:05,  스파이더맨: 홈 커밍(디지털)","14:50,  스파이더맨: 홈 커밍(디지털),  11,000원","17:35,  스파이더맨: 홈 커밍(디지털),  11,000원","20:20,  스파이더맨: 홈 커밍(디지털),  11,000원","23:05,  스파이더맨: 홈 커밍(디지털),  7,000원",,,,,,,,,40
2017-07-08,08관,"11:00,  스파이더맨: 홈 커밍(디지털),  7,000원","13:45,  스파이더맨: 홈 커밍(디지털),  11,000원","16:30,  스파이더맨: 홈 커밍(디지털),  11,000원","19:15,  스파이더맨: 홈 커밍(디지털),  11,000원","22:00,  스파이더맨: 홈 커밍(디지털),  11,000원","24:45,  스파이더맨: 홈 커밍(디지털),  7,000원",,,,,,,,,308
2017-07-09,01관,"09:00,  스파이더맨: 홈 커밍(디지털),  7,000원","11:45,  스파이더맨: 홈 커밍(디지털),  10,000원","14:30,  스파이더맨: 홈 커밍(디지털),  11,000원","17:15,  스파이더맨: 홈 커밍(디지털),  11,000원","20:00,  스파이더맨: 홈 커밍(디지털),  11,000원","22:45,  스파이더맨: 홈 커밍(디지털),  11,000원",,,,,,,,,143
2017-07-09,02관,"10:10,  박열(디지털),  7,000원","12:50,  박열(디지털),  10,000원","15:30,  박열(디지털),  11,000원","18:05,  박열(디지털),  11,000원","20:40,  박열(디지털),  11,000원","23:15,  박열(디지털),  7,000원",,,,,,,,,119
2017-07-09,03관,"09:30,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙)","11:00,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙),  7,000원","12:30,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙),  7,000원","13:55,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙),  7,000원","15:20,  트랜스포머: 최후의 기사(디지털),  11,000원","18:20,  트랜스포머: 최후의 기사(디지털),  11,000원","21:20,  트랜스포머: 최후의 기사(디지털),  11,000원","24:20,  트랜스포머: 최후의 기사(디지털),  6,000원",,,,,,,119
