상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,15회,16회,좌석수
2017-08-16,02관(Cine de Chef-TEMPUR Cinema),"09:30,  혹성탈출: 종의 전쟁(디지털),  9,000원","12:40,  혹성탈출: 종의 전쟁(디지털),  9,000원","15:50,  혹성탈출: 종의 전쟁(디지털),  9,000원","19:00,  혹성탈출: 종의 전쟁(디지털),  9,000원","22:10,  혹성탈출: 종의 전쟁(디지털),  9,000원",,,,,,,,,,,,50
2017-08-17,01관(Cine de Chef),"10:00,  택시운전사(디지털),  9,000원","13:00,  혹성탈출: 종의 전쟁(디지털)","15:50,  택시운전사(디지털)","19:30,  혹성탈출: 종의 전쟁(디지털),  9,000원","22:40,  장산범(디지털),  9,000원",,,,,,,,,,,,64
2017-08-17,02관(Cine de Chef-TEMPUR Cinema),"09:30,  혹성탈출: 종의 전쟁(디지털),  9,000원","12:40,  청년경찰(디지털),  9,000원","15:10,  혹성탈출: 종의 전쟁(디지털),  9,000원","18:20,  혹성탈출: 종의 전쟁(디지털),  9,000원","21:30,  혹성탈출: 종의 전쟁(디지털),  9,000원",,,,,,,,,,,,50
2017-08-18,01관(Cine de Chef),"10:00,  혹성탈출: 종의 전쟁(디지털)","13:00,  택시운전사(디지털)","16:00,  청년경찰(디지털)","18:30,  택시운전사(디지털)","21:30,  택시운전사(디지털)",,,,,,,,,,,,64
2017-08-18,02관(Cine de Chef-TEMPUR Cinema),"09:40,  청년경찰(디지털)","12:20,  혹성탈출: 종의 전쟁(디지털),  10,000원","15:30,  혹성탈출: 종의 전쟁(디지털),  10,000원","19:10,  혹성탈출: 종의 전쟁(디지털),  10,000원","22:20,  혹성탈출: 종의 전쟁(디지털),  10,000원",,,,,,,,,,,,50
2017-08-19,01관(Cine de Chef),"10:10,  청년경찰(디지털)","12:30,  택시운전사(디지털),  10,000원","15:20,  혹성탈출: 종의 전쟁(디지털),  10,000원","18:20,  청년경찰(디지털),  10,000원","20:50,  택시운전사(디지털),  10,000원",,,,,,,,,,,,64
2017-08-19,02관(Cine de Chef-TEMPUR Cinema),"09:50,  혹성탈출: 종의 전쟁(디지털),  10,000원","13:00,  혹성탈출: 종의 전쟁(디지털),  10,000원","16:00,  혹성탈출: 종의 전쟁(디지털),  10,000원","19:00,  혹성탈출: 종의 전쟁(디지털),  10,000원","22:00,  혹성탈출: 종의 전쟁(디지털),  10,000원",,,,,,,,,,,,50
2017-08-20,01관(Cine de Chef),"10:00,  혹성탈출: 종의 전쟁(디지털)","13:00,  택시운전사(디지털),  10,000원","16:00,  청년경찰(디지털),  10,000원","19:00,  택시운전사(디지털),  10,000원","22:00,  택시운전사(디지털)",,,,,,,,,,,,64
2017-08-20,02관(Cine de Chef-TEMPUR Cinema),"09:40,  청년경찰(디지털)","12:20,  혹성탈출: 종의 전쟁(디지털),  10,000원","15:20,  혹성탈출: 종의 전쟁(디지털),  10,000원","18:30,  혹성탈출: 종의 전쟁(디지털),  10,000원","21:40,  혹성탈출: 종의 전쟁(디지털),  10,000원",,,,,,,,,,,,50
2017-08-21,01관(Cine de Chef),"10:00,  혹성탈출: 종의 전쟁(디지털)","13:00,  택시운전사(디지털)","16:00,  혹성탈출: 종의 전쟁(디지털)","19:00,  청년경찰(디지털),  9,000원","21:30,  택시운전사(디지털)",,,,,,,,,,,,64
