상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2019-01-14,01관,"09:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","12:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","14:10,  범블비(디지털),  6,000원","16:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","18:30,  말모이(디지털),  6,000원","21:05,  말모이(디지털),  6,000원",,,,,,,77
2019-01-14,02관,"09:50,  말모이(디지털),  6,000원","12:20,  PMC: 더 벙커(디지털),  6,000원","14:40,  말모이(디지털),  6,000원","17:15,  아쿠아맨(디지털),  6,000원","20:00,  아쿠아맨(디지털),  6,000원",,,,,,,,47
2019-01-15,01관,"09:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","12:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","14:10,  범블비(디지털),  6,000원","16:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","18:30,  말모이(디지털),  6,000원","21:05,  말모이(디지털),  6,000원",,,,,,,77
2019-01-15,02관,"10:10,  PMC: 더 벙커(디지털)","12:35,  말모이(디지털),  6,000원","15:10,  말모이(디지털),  6,000원","17:45,  아쿠아맨(디지털),  6,000원","20:30,  아쿠아맨(디지털),  6,000원",,,,,,,,47
2019-01-16,01관,"09:45,  언더독(디지털),  5,000원","11:40,  언더독(디지털),  6,000원","13:40,  언더독(디지털),  6,000원","15:40,  말모이(디지털),  6,000원","18:10,  말모이(디지털),  6,000원","20:40,  말모이(디지털),  6,000원",,,,,,,77
2019-01-16,02관,"10:10,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","12:25,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","15:00,  아쿠아맨(디지털),  6,000원","17:45,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","20:00,  아쿠아맨(디지털),  6,000원",,,,,,,,47
2019-01-17,01관,"09:45,  언더독(디지털)","11:40,  언더독(디지털),  5,000원","13:40,  언더독(디지털),  6,000원","15:40,  말모이(디지털),  6,000원","18:10,  말모이(디지털),  6,000원","20:40,  말모이(디지털),  6,000원",,,,,,,77
2019-01-17,02관,"10:10,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","12:25,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  5,000원","15:00,  글래스(디지털),  6,000원","17:30,  아쿠아맨(디지털),  6,000원","20:15,  글래스(디지털),  6,000원",,,,,,,,47
2019-01-18,01관,"09:45,  언더독(디지털),  6,000원","11:40,  언더독(디지털),  6,000원","13:40,  언더독(디지털),  5,000원","15:40,  말모이(디지털),  6,000원","18:10,  말모이(디지털),  6,000원","20:40,  말모이(디지털),  6,000원",,,,,,,77
2019-01-18,02관,"10:10,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","12:25,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","14:40,  아쿠아맨(디지털),  6,000원","17:30,  글래스(디지털),  6,000원","20:00,  글래스(디지털),  6,000원",,,,,,,,47
2019-01-19,01관,"09:50,  언더독(디지털),  6,000원","11:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","14:00,  언더독(디지털),  6,000원","16:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","18:10,  말모이(디지털),  6,000원","20:45,  글래스(디지털),  6,000원",,,,,,,77
2019-01-19,02관,"09:55,  글래스(디지털),  6,000원","12:20,  말모이(디지털),  6,000원","14:55,  아쿠아맨(디지털),  6,000원","17:40,  글래스(디지털),  6,000원","20:10,  말모이(디지털),  6,000원",,,,,,,,47
2019-01-20,01관,"09:50,  언더독(디지털),  6,000원","11:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","14:00,  언더독(디지털),  6,000원","16:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","18:10,  말모이(디지털),  6,000원","20:45,  글래스(디지털),  6,000원",,,,,,,77
2019-01-20,02관,"09:55,  글래스(디지털),  6,000원","12:20,  말모이(디지털),  6,000원","14:55,  아쿠아맨(디지털),  6,000원","17:40,  글래스(디지털),  6,000원","20:10,  말모이(디지털),  6,000원",,,,,,,,47
2019-01-21,01관,"09:50,  언더독(디지털)","11:50,  언더독(디지털),  6,000원","13:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","16:00,  언더독(디지털),  6,000원","18:00,  말모이(디지털),  6,000원","20:35,  말모이(디지털),  6,000원",,,,,,,77
