상영일자,상영관,1회,2회,3회,4회,5회,좌석수
2017-02-03,01관,"09:35,  더 킹(디지털),  5,000원","12:10,  공조(디지털),  5,000원","14:35,  더 킹(디지털),  5,000원","17:10,  모아나(디지털더빙),  5,000원","19:25,  공조(디지털),  5,000원",109
2017-02-04,01관,"09:35,  공조(디지털),  5,000원","12:00,  모아나(디지털더빙),  5,000원","14:15,  더 킹(디지털),  5,000원","16:50,  공조(디지털),  5,000원","19:15,  더 킹(디지털),  5,000원",109
2017-02-05,01관,"09:35,  공조(디지털),  5,000원","12:00,  모아나(디지털더빙),  5,000원","14:15,  더 킹(디지털),  5,000원","16:50,  공조(디지털),  5,000원","19:15,  더 킹(디지털),  5,000원",109
2017-02-07,01관,"09:35,  공조(디지털),  5,000원","12:00,  모아나(디지털더빙),  5,000원","14:15,  더 킹(디지털),  5,000원","16:50,  공조(디지털),  5,000원","19:15,  더 킹(디지털),  5,000원",109
2017-02-08,01관,"10:10,  모아나(디지털더빙),  5,000원","12:25,  공조(디지털),  5,000원","14:50,  공조(디지털),  5,000원","17:15,  모아나(디지털더빙),  5,000원","19:30,  더 킹(디지털),  5,000원",109
2017-02-09,01관,"09:40,  조작된 도시(디지털),  5,000원","12:05,  공조(디지털),  5,000원","14:30,  조작된 도시(디지털),  5,000원","16:55,  더 킹(디지털),  5,000원","19:30,  조작된 도시(디지털),  5,000원",109
2017-02-10,01관,"09:40,  조작된 도시(디지털),  5,000원","12:05,  공조(디지털),  5,000원","14:30,  더 킹(디지털),  5,000원","17:05,  조작된 도시(디지털),  5,000원","19:30,  조작된 도시(디지털),  5,000원",109
2017-02-11,01관,"09:40,  조작된 도시(디지털),  5,000원","12:05,  모아나(디지털더빙),  5,000원","14:25,  조작된 도시(디지털),  5,000원","16:50,  공조(디지털),  5,000원","19:25,  조작된 도시(디지털),  5,000원",109
2017-02-12,01관,"09:40,  조작된 도시(디지털),  5,000원","12:05,  모아나(디지털더빙),  5,000원","14:25,  조작된 도시(디지털),  5,000원","16:50,  더 킹(디지털),  5,000원","19:25,  조작된 도시(디지털),  5,000원",109
2017-02-14,01관,"09:40,  조작된 도시(디지털),  5,000원","12:05,  더 킹(디지털),  5,000원","14:40,  조작된 도시(디지털),  5,000원","17:05,  공조(디지털),  5,000원","19:30,  조작된 도시(디지털),  5,000원",109
2017-02-15,01관,"09:40,  더 킹(디지털),  5,000원","12:15,  조작된 도시(디지털),  5,000원","14:40,  조작된 도시(디지털),  5,000원","17:05,  공조(디지털),  5,000원","19:30,  조작된 도시(디지털),  5,000원",109
2017-02-16,01관,"10:00,  조작된 도시(디지털),  5,000원","12:35,  트롤(디지털),  5,000원","14:40,  조작된 도시(디지털),  5,000원","17:15,  트롤(디지털),  5,000원","19:20,  조작된 도시(디지털),  5,000원",109
2017-02-17,01관,"10:00,  조작된 도시(디지털),  5,000원","12:35,  트롤(디지털),  5,000원","14:40,  조작된 도시(디지털),  5,000원","17:15,  트롤(디지털),  5,000원","19:20,  조작된 도시(디지털),  5,000원",109
2017-02-18,01관,"10:00,  조작된 도시(디지털),  5,000원","12:35,  트롤(디지털),  5,000원","14:40,  조작된 도시(디지털),  5,000원","17:15,  트롤(디지털),  5,000원","19:20,  조작된 도시(디지털),  5,000원",109
2017-02-19,01관,"10:00,  조작된 도시(디지털),  5,000원","12:35,  트롤(디지털),  5,000원","14:40,  조작된 도시(디지털),  5,000원","17:15,  트롤(디지털),  5,000원","19:20,  조작된 도시(디지털),  5,000원",109
2017-02-21,01관,"10:00,  트롤(디지털),  5,000원","12:05,  조작된 도시(디지털),  5,000원","14:40,  조작된 도시(디지털),  5,000원","17:15,  트롤(디지털),  5,000원","19:20,  조작된 도시(디지털),  5,000원",109
2017-02-22,01관,"10:00,  루시드 드림(디지털),  5,000원","12:10,  트롤(디지털),  5,000원","14:15,  루시드 드림(디지털),  5,000원","16:25,  핵소 고지(디지털),  5,000원","19:20,  모팻과 나+파나로마+이클립스(디지털),  0원",109
2017-02-23,01관,"10:00,  핵소 고지(디지털),  5,000원","12:40,  트롤(디지털더빙),  5,000원","14:40,  루시드 드림(디지털),  5,000원","16:50,  핵소 고지(디지털),  5,000원","19:30,  루시드 드림(디지털),  5,000원",109
2017-02-24,01관,"10:00,  트롤(디지털더빙),  5,000원","12:00,  핵소 고지(디지털),  5,000원","14:40,  루시드 드림(디지털),  5,000원","16:50,  핵소 고지(디지털),  5,000원","19:30,  루시드 드림(디지털),  5,000원",109
2017-02-25,01관,"10:00,  핵소 고지(디지털),  5,000원","12:40,  트롤(디지털더빙),  5,000원","14:40,  루시드 드림(디지털),  5,000원","16:50,  핵소 고지(디지털),  5,000원","19:30,  루시드 드림(디지털),  5,000원",109
2017-02-26,01관,"10:00,  핵소 고지(디지털),  5,000원","12:40,  트롤(디지털더빙),  5,000원","14:40,  루시드 드림(디지털),  5,000원","16:50,  루시드 드림(디지털),  5,000원","19:00,  핵소 고지(디지털),  5,000원",109
2017-02-28,01관,"10:00,  핵소 고지(디지털),  5,000원","12:40,  트롤(디지털더빙),  5,000원","14:40,  루시드 드림(디지털),  5,000원","16:50,  핵소 고지(디지털),  5,000원","19:30,  루시드 드림(디지털),  5,000원",109
2017-03-01,01관,"10:00,  핵소 고지(디지털),  5,000원","12:40,  트롤(디지털더빙),  5,000원","14:40,  루시드 드림(디지털),  5,000원","16:50,  루시드 드림(디지털),  5,000원","19:00,  핵소 고지(디지털),  5,000원",109
2017-03-02,01관,"10:00,  해빙(디지털),  5,000원","12:20,  루시드 드림(디지털),  5,000원","14:30,  해빙(디지털),  5,000원","16:50,  핵소 고지(디지털),  5,000원","19:30,  해빙(디지털),  5,000원",109
2017-03-03,01관,"10:00,  해빙(디지털),  5,000원","12:20,  핵소 고지(디지털),  5,000원","15:00,  해빙(디지털),  5,000원","17:20,  루시드 드림(디지털),  5,000원","19:30,  해빙(디지털),  5,000원",109
2017-03-04,01관,"10:00,  해빙(디지털),  5,000원","12:20,  트롤(디지털더빙),  5,000원","14:30,  해빙(디지털),  5,000원","16:50,  핵소 고지(디지털),  5,000원","19:30,  해빙(디지털),  5,000원",109
2017-03-05,01관,"10:00,  해빙(디지털),  5,000원","12:20,  트롤(디지털더빙),  5,000원","14:30,  해빙(디지털),  5,000원","16:50,  루시드 드림(디지털),  5,000원","19:10,  해빙(디지털),  5,000원",109
2017-03-07,01관,"10:00,  해빙(디지털),  5,000원","12:20,  루시드 드림(디지털),  5,000원","14:30,  해빙(디지털),  5,000원","16:50,  핵소 고지(디지털),  5,000원","19:30,  해빙(디지털),  5,000원",109
2017-03-08,01관,"10:00,  해빙(디지털),  5,000원","12:20,  핵소 고지(디지털),  5,000원","15:00,  해빙(디지털),  5,000원","17:20,  루시드 드림(디지털),  5,000원","19:30,  해빙(디지털),  5,000원",109
2017-03-09,01관,"10:00,  해빙(디지털),  5,000원","12:20,  콩: 스컬 아일랜드(디지털),  5,000원","14:40,  해빙(디지털),  5,000원","17:00,  콩: 스컬 아일랜드(디지털),  5,000원","19:20,  콩: 스컬 아일랜드(디지털),  5,000원",109
2017-03-10,01관,"10:00,  콩: 스컬 아일랜드(디지털),  5,000원","12:20,  해빙(디지털),  5,000원","14:40,  콩: 스컬 아일랜드(디지털),  5,000원","17:00,  해빙(디지털),  5,000원","19:20,  콩: 스컬 아일랜드(디지털),  5,000원",109
2017-03-11,01관,"10:00,  해빙(디지털),  5,000원","12:20,  트롤(디지털더빙),  5,000원","14:30,  콩: 스컬 아일랜드(디지털),  5,000원","17:00,  해빙(디지털),  5,000원","19:20,  콩: 스컬 아일랜드(디지털),  5,000원",109
2017-03-12,01관,"10:00,  콩: 스컬 아일랜드(디지털),  5,000원","12:20,  트롤(디지털더빙),  5,000원","14:30,  해빙(디지털),  5,000원","17:00,  콩: 스컬 아일랜드(디지털),  5,000원","19:20,  해빙(디지털),  5,000원",109
2017-03-14,01관,"10:00,  해빙(디지털),  5,000원","12:20,  콩: 스컬 아일랜드(디지털),  5,000원","14:40,  해빙(디지털),  5,000원","17:00,  콩: 스컬 아일랜드(디지털),  5,000원","19:20,  콩: 스컬 아일랜드(디지털),  5,000원",109
2017-03-15,01관,"10:00,  콩: 스컬 아일랜드(디지털),  5,000원","12:20,  해빙(디지털),  5,000원","14:40,  콩: 스컬 아일랜드(디지털),  5,000원","17:00,  콩: 스컬 아일랜드(디지털),  5,000원","19:20,  해빙(디지털),  5,000원",109
2017-03-16,01관,"10:00,  미녀와 야수(디지털),  5,000원","12:25,  해빙(디지털),  5,000원","14:45,  미녀와 야수(디지털),  5,000원","17:10,  콩: 스컬 아일랜드(디지털),  5,000원","19:30,  미녀와 야수(디지털),  5,000원",109
2017-03-17,01관,"10:00,  미녀와 야수(디지털),  5,000원","12:25,  콩: 스컬 아일랜드(디지털),  5,000원","14:45,  미녀와 야수(디지털),  5,000원","17:10,  해빙(디지털),  5,000원","19:30,  미녀와 야수(디지털),  5,000원",109
2017-03-18,01관,"10:00,  콩: 스컬 아일랜드(디지털),  5,000원","12:20,  미녀와 야수(디지털더빙),  5,000원","14:45,  미녀와 야수(디지털더빙),  5,000원","17:10,  해빙(디지털),  5,000원","19:30,  미녀와 야수(디지털),  5,000원",109
2017-03-19,01관,"10:00,  해빙(디지털),  5,000원","12:20,  미녀와 야수(디지털더빙),  5,000원","14:45,  미녀와 야수(디지털더빙),  5,000원","17:10,  미녀와 야수(디지털),  5,000원","19:35,  콩: 스컬 아일랜드(디지털),  5,000원",109
2017-03-21,01관,"10:00,  미녀와 야수(디지털),  5,000원","12:25,  해빙(디지털),  5,000원","14:45,  미녀와 야수(디지털),  5,000원","17:10,  콩: 스컬 아일랜드(디지털),  5,000원","19:30,  미녀와 야수(디지털),  5,000원",109
2017-03-22,01관,"10:00,  미녀와 야수(디지털),  5,000원","12:25,  콩: 스컬 아일랜드(디지털),  5,000원","14:45,  미녀와 야수(디지털),  5,000원","17:10,  해빙(디지털),  5,000원","19:30,  미녀와 야수(디지털),  5,000원",109
