10회,11회,1회,2회,3회,4회,5회,6회,7회,8회,9회,상영관,상영일자,좌석수
,,"11:30,  창간호(디지털),  7,000원","13:50,  메이트(디지털),  7,000원","15:40,  김새벽 배우 특별전(인디스데이)(디지털),  7,000원","17:40,  천당의 밤과 안개(디지털),  10,000원",,,,,,인디플러스 영화의 전당,2019-01-20,36
,,"10:40,  국가부도의 날(디지털 가치봄),  3,000원","13:00,  도어락(디지털 가치봄),  3,000원","15:10,  국가부도의 날(디지털 가치봄),  3,000원","17:30,  도어락(디지털 가치봄),  3,000원","19:30,  국가부도의 날(디지털 가치봄),  3,000원",,,,,시네마테크관,2019-01-21,212
,,"10:30,  일일시호일(디지털),  6,000원","12:30,  쿠르스크(디지털),  7,000원","14:50,  그린 북(디지털),  7,000원","17:20,  더 서치(디지털),  7,000원","20:00,  언더독(디지털),  7,000원",,,,,소극장,2019-01-21,212
,,"09:30,  말모이(디지털),  5,000원","12:10,  그대 이름은 장미(디지털),  7,000원","14:40,  말모이(디지털),  7,000원","17:20,  내안의 그놈(디지털),  7,000원","19:50,  그대 이름은 장미(디지털),  7,000원",,,,,중극장,2019-01-21,413
,,"10:00,  언더독(디지털),  5,000원","12:30,  버블 패밀리(디지털),  7,000원","14:10,  창간호(디지털),  7,000원","16:30,  어른이 되면(디지털),  5,000원","18:30,  김새벽 배우 특별전(인디스데이)(디지털),  7,000원","20:30,  메이트(디지털),  7,000원",,,,인디플러스 영화의 전당,2019-01-21,36
,,"09:20,  인생 후르츠(디지털),  5,000원","11:10,  이차크의 행복한 바이올린(디지털),  7,000원","13:00,  레토(디지털),  7,000원","15:30,  통행증(필름),  6,000원","19:00,  소피의 선택(디지털),  6,000원",,,,,시네마테크관,2019-01-22,212
,,"09:30,  미래의 미라이(디지털),  5,000원","11:30,  미래의 미라이(디지털),  7,000원","13:30,  일일시호일(디지털),  7,000원","15:30,  더 서치(디지털),  7,000원","18:10,  그린 북(디지털),  7,000원","20:40,  쿠르스크(디지털),  7,000원",,,,소극장,2019-01-22,212
,,"09:30,  내안의 그놈(디지털),  5,000원","12:00,  말모이(디지털),  7,000원","14:40,  그대 이름은 장미(디지털),  7,000원","17:10,  말모이(디지털),  7,000원","19:50,  보헤미안 랩소디(디지털),  7,000원",,,,,중극장,2019-01-22,413
,,"10:00,  샹그리라의 야생마 (디지털),  0원","13:00,  메이트(디지털),  7,000원","15:00,  다영씨(디지털),  7,000원","16:20,  버블 패밀리(디지털),  7,000원","18:00,  창간호(디지털),  7,000원","20:20,  김새벽 배우 특별전(인디스데이)(디지털),  7,000원",,,,인디플러스 영화의 전당,2019-01-22,36
,,"10:20,  이차크의 행복한 바이올린(디지털),  5,000원","12:10,  인생 후르츠(디지털),  7,000원",,"14:00,  어둠속의 외침(디지털),  6,000원","16:30,  리스본의 미스터리(디지털),  6,000원",,,,,시네마테크관,2019-01-23,212
,,"10:40,  미래의 미라이(디지털),  7,000원","12:40,  그린 북(디지털),  7,000원","15:10,  로마(디지털),  7,000원","17:50,  더 서치(디지털),  7,000원","20:30,  로마(디지털),  7,000원",,,,,소극장,2019-01-23,212
,,"09:50,  극한직업(디지털),  5,000원","12:10,  그대 이름은 장미(디지털),  7,000원","14:40,  극한직업(디지털),  7,000원","17:00,  말모이(디지털),  7,000원","19:40,  극한직업(디지털),  7,000원",,,,,중극장,2019-01-23,413
,,"13:00,  다영씨(디지털),  7,000원","14:20,  김새벽 배우 특별전(인디스데이)(디지털),  6,000원","16:20,  창간호(디지털),  7,000원","18:40,  어른이 되면(디지털),  7,000원","20:40,  메이트(디지털),  7,000원",,,,,인디플러스 영화의 전당,2019-01-23,36
,,"09:40,  인생 후르츠(디지털),  5,000원","11:30,  일일시호일(디지털),  7,000원",,"13:30,  예수의 마지막 유혹(디지털),  6,000원","17:00,  귀여운 여도적(디지털),  6,000원","20:00,  허드(필름),  6,000원",,,,시네마테크관,2019-01-24,212
,,"09:40,  미래의 미라이(디지털),  5,000원","11:40,  가버나움(디지털),  7,000원","14:10,  파이널리스트(디지털),  7,000원","16:00,  그린 북(디지털),  7,000원","18:30,  쿠르스크(디지털),  7,000원","20:50,  일일시호일(디지털),  7,000원",,,,소극장,2019-01-24,212
,,"09:50,  극한직업(디지털),  6,000원","12:10,  말모이(디지털),  7,000원","14:50,  극한직업(디지털),  7,000원","17:10,  그대 이름은 장미(디지털),  7,000원","19:40,  극한직업(디지털),  7,000원",,,,,중극장,2019-01-24,413
,,"12:00,  창간호(디지털),  7,000원","14:20,  어른이 되면(디지털),  0원","16:20,  김새벽 배우 특별전(인디스데이)(디지털),  7,000원","18:20,  메이트(디지털),  7,000원","20:20,  얼굴들(디지털),  5,000원",,,,,인디플러스 영화의 전당,2019-01-24,36
,,"10:40,  일일시호일(디지털),  7,000원","12:40,  더 서치(디지털),  7,000원","15:20,  쉰들러 리스트(디지털),  7,000원","19:00,  인생 후르츠(디지털),  7,000원","20:50,  일일시호일(디지털),  7,000원",,,,,시네마테크관,2019-01-25,212
,,"09:40,  미래의 미라이(디지털),  5,000원","11:40,  파이널리스트(디지털),  7,000원","13:30,  가버나움(디지털),  7,000원","16:00,  언더독(디지털),  7,000원","18:10,  쿠르스크(디지털),  7,000원","20:30,  가버나움(디지털),  7,000원",,,,소극장,2019-01-25,212
,,"09:50,  말모이(디지털),  5,000원","12:30,  극한직업(디지털),  7,000원","14:50,  그대 이름은 장미(디지털),  7,000원","17:20,  말모이(디지털),  7,000원","20:00,  극한직업(디지털),  7,000원",,,,,중극장,2019-01-25,413
,,,"14:30,  버블 패밀리(디지털),  7,000원","16:10,  창간호(디지털),  7,000원","18:30,  김새벽 배우 특별전(인디스데이)(디지털),  7,000원",,"20:30,  얼굴들(디지털),  7,000원",,,,인디플러스 영화의 전당,2019-01-25,36
,,"11:00,  인생 후르츠(디지털),  7,000원","12:50,  일일시호일(디지털),  7,000원","14:50,  더 서치(디지털),  7,000원","17:30,  일일시호일(디지털),  7,000원","19:30,  쉰들러 리스트(디지털),  7,000원",,,,,시네마테크관,2019-01-26,212
,,"10:20,  로마(디지털),  5,000원","13:00,  그린 북(디지털),  7,000원","15:30,  가버나움(디지털),  7,000원","18:00,  로마(디지털),  7,000원","20:40,  가버나움(디지털),  7,000원",,,,,소극장,2019-01-26,212
,,"09:50,  언더독(디지털),  5,000원","12:00,  극한직업(디지털),  7,000원","14:20,  말모이(디지털),  7,000원","17:15,  극한직업(디지털),  7,000원","20:00,  극한직업(디지털),  7,000원",,,,,중극장,2019-01-26,413
,,,"13:30,  메이트(디지털),  7,000원","15:30,  얼굴들(디지털),  7,000원","18:00,  김새벽 배우 특별전(인디스데이)(디지털),  0원","20:00,  창간호(디지털),  7,000원",,,,,인디플러스 영화의 전당,2019-01-26,36
