1회,2회,3회,4회,5회,6회,7회,8회,상영관,상영일자,좌석수
"12:15,  기생충(디지털),  10,000원","18:10,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-02,59
"11:40,  아이아이 가사: 다시 만난 그날(디지털),  10,000원","19:50,  기생충(디지털)",,,,,,,01관,2019-06-03,59
"12:00,  아픈 만큼 사랑한다(디지털)","15:25,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-06-04,59
"00:05,  무협: 강호수사대(디지털),  2,000원","19:50,  기생충(디지털),  10,000원",,,,,,,01관,2019-06-05,59
"00:05,  막내 형수(디지털),  2,000원","16:10,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-06,59
"00:05,  일일시호일(디지털),  1,000원","16:10,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-07,59
"11:15,  라플라스의 마녀(디지털),  6,000원","17:15,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-08,59
"11:15,  라플라스의 마녀(디지털),  6,000원","17:35,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-09,59
"12:00,  교회오빠(디지털),  10,000원","16:10,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-10,59
"00:05,  딸의 친구 3 - 무삭제판(디지털),  2,000원","15:55,  아픈 만큼 사랑한다(디지털),  10,000원","19:30,  교회오빠(디지털),  10,000원",,,,,,01관,2019-06-11,59
"12:30,  교회오빠(디지털),  10,000원","16:05,  교회오빠(디지털)","19:40,  교회오빠(디지털),  10,000원",,,,,,01관,2019-06-12,59
"12:40,  교회오빠(디지털),  10,000원","16:10,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-13,59
"00:05,  보도드라이버: 풀코스(디지털),  2,000원","16:05,  교회오빠(디지털),  10,000원","19:40,  교회오빠(디지털),  10,000원",,,,,,01관,2019-06-14,59
"12:30,  아픈 만큼 사랑한다(디지털),  10,000원","16:05,  아픈 만큼 사랑한다(디지털),  10,000원","19:45,  교회오빠(디지털),  10,000원",,,,,,01관,2019-06-15,59
"12:30,  아픈 만큼 사랑한다(디지털),  6,000원","16:25,  교회오빠(디지털),  10,000원","20:00,  교회오빠(디지털),  10,000원",,,,,,01관,2019-06-16,59
"12:30,  교회오빠(디지털),  10,000원","16:05,  교회오빠(디지털)","19:40,  교회오빠(디지털),  10,000원",,,,,,01관,2019-06-17,59
"00:05,  독고다이(디지털),  1,000원","14:15,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-06-18,59
"00:05,  누나의 맛(디지털),  2,000원","16:05,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-19,59
"00:05,  아우슈비츠(디지털),  2,000원","16:05,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-20,59
"00:05,  시월드(디지털),  2,000원","16:05,  아픈 만큼 사랑한다(디지털)","20:00,  아픈 만큼 사랑한다(디지털)",,,,,,01관,2019-06-21,59
