상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,좌석수
2015-01-28,01관,"09:10,  강남 1970(디지털)","11:40,  국제시장(디지털),  6,000원","14:00,  강남 1970(디지털),  8,000원","16:30,  더 이퀄라이저(디지털)","18:55,  강남 1970(디지털),  8,000원","21:25,  더 이퀄라이저(디지털),  8,000원","23:50,  내 심장을 쏴라(디지털),  6,000원",,,,,,,211
2015-01-28,02관,"09:00,  내 심장을 쏴라(디지털)","10:55,  오늘의 연애(디지털),  5,000원","13:10,  빅 히어로(디지털더빙),  8,000원","15:15,  내 심장을 쏴라(디지털),  8,000원","17:10,  오늘의 연애(디지털),  8,000원","19:25,  내 심장을 쏴라(디지털),  6,000원","21:20,  오늘의 연애(디지털),  8,000원","23:35,  강남 1970(디지털),  6,000원",,,,,,117
2015-01-29,01관,"09:10,  강남 1970(디지털)","11:40,  국제시장(디지털),  6,000원","14:00,  강남 1970(디지털),  8,000원","16:30,  더 이퀄라이저(디지털)","18:55,  강남 1970(디지털),  8,000원","21:25,  더 이퀄라이저(디지털),  5,000원","23:50,  내 심장을 쏴라(디지털),  8,000원",,,,,,,211
2015-01-29,02관,"09:00,  내 심장을 쏴라(디지털),  5,000원","10:55,  오늘의 연애(디지털),  5,000원","13:10,  빅 히어로(디지털더빙),  8,000원","15:15,  내 심장을 쏴라(디지털),  5,000원","17:10,  오늘의 연애(디지털),  8,000원","19:25,  내 심장을 쏴라(디지털),  8,000원","21:20,  오늘의 연애(디지털),  8,000원","23:35,  강남 1970(디지털),  6,000원",,,,,,117
2015-01-30,01관,"09:10,  강남 1970(디지털),  5,000원","11:40,  국제시장(디지털),  8,000원","14:00,  강남 1970(디지털),  8,000원","16:30,  더 이퀄라이저(디지털),  8,000원","18:55,  강남 1970(디지털),  8,000원","21:25,  더 이퀄라이저(디지털),  6,000원","23:50,  내 심장을 쏴라(디지털),  8,000원",,,,,,,211
2015-01-30,02관,"09:00,  내 심장을 쏴라(디지털),  5,000원","10:55,  오늘의 연애(디지털)","13:10,  빅 히어로(디지털더빙),  8,000원","15:15,  내 심장을 쏴라(디지털),  8,000원","17:10,  오늘의 연애(디지털),  6,000원","19:25,  내 심장을 쏴라(디지털),  8,000원","21:20,  오늘의 연애(디지털),  8,000원","23:35,  강남 1970(디지털),  6,000원",,,,,,117
2015-01-31,01관,"09:15,  강남 1970(디지털),  5,000원","11:45,  오늘의 연애(디지털),  8,000원","14:00,  강남 1970(디지털),  8,000원","16:30,  국제시장(디지털),  8,000원","18:50,  강남 1970(디지털),  8,000원","21:20,  더 이퀄라이저(디지털),  8,000원","23:45,  강남 1970(디지털),  6,000원",,,,,,,211
2015-01-31,02관,"09:00,  내 심장을 쏴라(디지털),  5,000원","10:55,  빅 히어로(디지털더빙),  6,000원","13:00,  빅 히어로(디지털더빙),  6,000원","15:05,  내 심장을 쏴라(디지털),  8,000원","17:00,  오늘의 연애(디지털),  5,000원","19:15,  내 심장을 쏴라(디지털),  5,000원","21:10,  오늘의 연애(디지털),  8,000원","23:25,  더 이퀄라이저(디지털)",,,,,,117
2015-02-01,01관,"09:15,  강남 1970(디지털),  5,000원","11:45,  오늘의 연애(디지털),  8,000원","14:00,  강남 1970(디지털),  8,000원","16:30,  국제시장(디지털),  8,000원","18:50,  강남 1970(디지털),  8,000원","21:20,  더 이퀄라이저(디지털),  6,000원","23:45,  강남 1970(디지털),  6,000원",,,,,,,211
2015-02-01,02관,"09:00,  내 심장을 쏴라(디지털),  5,000원","10:55,  빅 히어로(디지털더빙),  5,000원","13:00,  빅 히어로(디지털더빙),  8,000원","15:05,  내 심장을 쏴라(디지털),  8,000원","17:00,  오늘의 연애(디지털),  8,000원","19:15,  내 심장을 쏴라(디지털),  8,000원","21:10,  오늘의 연애(디지털),  8,000원","23:25,  더 이퀄라이저(디지털)",,,,,,117
2015-02-02,01관,"09:25,  강남 1970(디지털),  5,000원","11:55,  빅 히어로(디지털더빙),  8,000원","14:00,  빅 히어로(디지털더빙),  8,000원","16:05,  강남 1970(디지털),  8,000원","18:35,  내 심장을 쏴라(디지털),  8,000원","20:30,  오늘의 연애(디지털),  8,000원","22:45,  내 심장을 쏴라(디지털)",,,,,,,211
2015-02-02,02관,"09:00,  내 심장을 쏴라(디지털)","10:55,  국제시장(디지털)","13:15,  내 심장을 쏴라(디지털),  8,000원","15:10,  오늘의 연애(디지털),  7,000원","17:25,  국제시장(디지털),  8,000원","19:45,  강남 1970(디지털),  8,000원","22:15,  더 이퀄라이저(디지털)",,,,,,,117
2015-02-03,01관,"09:25,  강남 1970(디지털),  5,000원","11:55,  빅 히어로(디지털더빙),  7,000원","14:00,  빅 히어로(디지털더빙),  8,000원","16:05,  강남 1970(디지털),  8,000원","18:35,  내 심장을 쏴라(디지털)","20:30,  오늘의 연애(디지털),  8,000원","22:45,  내 심장을 쏴라(디지털),  8,000원",,,,,,,211
2015-02-03,02관,"09:00,  내 심장을 쏴라(디지털),  5,000원","10:55,  국제시장(디지털),  5,000원","13:15,  내 심장을 쏴라(디지털),  8,000원","15:10,  오늘의 연애(디지털),  8,000원","17:25,  국제시장(디지털),  8,000원","19:45,  강남 1970(디지털),  6,000원","22:15,  더 이퀄라이저(디지털)",,,,,,,117
2015-02-04,01관,"09:25,  강남 1970(디지털)","11:55,  빅 히어로(디지털더빙)","14:00,  빅 히어로(디지털더빙)","16:05,  강남 1970(디지털),  6,000원","18:35,  내 심장을 쏴라(디지털),  5,000원","20:30,  오늘의 연애(디지털),  8,000원","22:45,  내 심장을 쏴라(디지털),  6,000원",,,,,,,211
2015-02-04,02관,"09:00,  내 심장을 쏴라(디지털)","10:55,  국제시장(디지털),  5,000원","13:15,  내 심장을 쏴라(디지털),  8,000원","15:10,  오늘의 연애(디지털),  8,000원","17:25,  국제시장(디지털),  5,000원","19:45,  강남 1970(디지털),  8,000원","22:15,  더 이퀄라이저(디지털),  6,000원",,,,,,,117
2015-02-05,01관,"09:00,  쎄시봉(디지털)","11:15,  쎄시봉(디지털),  6,000원","13:30,  쎄시봉(디지털),  6,000원","15:45,  쎄시봉(디지털),  8,000원","18:00,  쎄시봉(디지털),  6,000원","20:15,  쎄시봉(디지털),  8,000원","22:30,  쎄시봉(디지털),  8,000원",,,,,,,211
2015-02-05,02관,"09:40,  주피터 어센딩(디지털),  8,000원","12:00,  센과 치히로의 행방불명(디지털더빙),  8,000원","14:20,  주피터 어센딩(디지털)","16:40,  주피터 어센딩(디지털),  7,000원","19:00,  쎄시봉(디지털),  8,000원","21:15,  주피터 어센딩(디지털),  8,000원","23:35,  강남 1970(디지털),  6,000원",,,,,,,117
2015-02-06,01관,"09:00,  쎄시봉(디지털),  5,000원","11:15,  쎄시봉(디지털),  8,000원","13:30,  쎄시봉(디지털),  8,000원","15:45,  쎄시봉(디지털),  8,000원","18:00,  쎄시봉(디지털),  6,000원","20:15,  쎄시봉(디지털),  8,000원","22:30,  쎄시봉(디지털),  8,000원",,,,,,,211
2015-02-06,02관,"09:40,  주피터 어센딩(디지털)","12:00,  센과 치히로의 행방불명(디지털더빙),  8,000원","14:20,  주피터 어센딩(디지털),  8,000원","16:40,  주피터 어센딩(디지털),  8,000원","19:00,  쎄시봉(디지털),  8,000원","21:15,  주피터 어센딩(디지털),  8,000원","23:35,  강남 1970(디지털),  6,000원",,,,,,,117
2015-02-07,01관,"09:00,  쎄시봉(디지털),  5,000원","11:15,  쎄시봉(디지털),  8,000원","13:30,  쎄시봉(디지털),  8,000원","15:45,  쎄시봉(디지털),  8,000원","18:00,  쎄시봉(디지털),  8,000원","20:15,  쎄시봉(디지털),  8,000원","22:30,  쎄시봉(디지털),  8,000원",,,,,,,211
