상영일자,상영관,1회,2회,3회,좌석수
2017-05-04,02관,"20:00,  임금님의 사건수첩(디지털),  16,000원","22:10,  특별시민(디지털),  16,000원",,120
2017-05-05,01관,"20:00,  보안관(디지털),  16,000원","22:20,  보안관(디지털),  16,000원",,200
2017-05-05,02관,"20:00,  임금님의 사건수첩(디지털),  16,000원","22:10,  특별시민(디지털),  16,000원",,120
2017-05-06,01관,"20:00,  보안관(디지털),  16,000원","22:20,  보안관(디지털),  16,000원",,200
2017-05-06,02관,"19:50,  임금님의 사건수첩(디지털),  16,000원","22:10,  특별시민(디지털),  16,000원",,120
2017-05-07,01관,"20:00,  보안관(디지털),  16,000원","22:20,  보안관(디지털),  16,000원",,200
2017-05-07,02관,"20:00,  임금님의 사건수첩(디지털),  16,000원","22:10,  특별시민(디지털),  16,000원",,120
2017-05-08,01관,"19:40,  가디언즈 오브 갤럭시 VOL. 2(3D 디지털),  16,000원","22:20,  보안관(디지털),  16,000원",,200
2017-05-08,02관,"19:50,  임금님의 사건수첩(디지털),  16,000원","22:10,  특별시민(디지털),  16,000원",,120
2017-05-09,01관,"19:40,  가디언즈 오브 갤럭시 VOL. 2(3D 디지털),  16,000원","22:20,  보안관(디지털),  16,000원",,200
2017-05-09,02관,"19:50,  임금님의 사건수첩(디지털),  16,000원","22:10,  특별시민(디지털),  16,000원",,120
2017-05-10,01관,"20:00,  석조저택 살인사건(디지털),  16,000원","22:10,  석조저택 살인사건(디지털),  16,000원",,200
2017-05-10,02관,"19:50,  가디언즈 오브 갤럭시 VOL. 2(3D 디지털),  16,000원","22:20,  보안관(디지털),  16,000원",,120
2017-05-11,01관,"20:00,  석조저택 살인사건(디지털),  16,000원","22:10,  석조저택 살인사건(디지털),  16,000원",,200
2017-05-11,02관,"19:50,  가디언즈 오브 갤럭시 VOL. 2(3D 디지털),  16,000원","22:20,  보안관(디지털),  16,000원",,120
2017-05-12,01관,"19:50,  가디언즈 오브 갤럭시 VOL. 2(3D 디지털),  16,000원","22:20,  보안관(디지털),  16,000원",,200
2017-05-12,02관,"20:00,  석조저택 살인사건(디지털),  16,000원","22:10,  석조저택 살인사건(디지털),  16,000원",,120
2017-05-13,01관,"19:50,  가디언즈 오브 갤럭시 VOL. 2(3D 디지털),  16,000원","22:20,  보안관(디지털),  16,000원",,200
2017-05-13,02관,"20:00,  석조저택 살인사건(디지털),  16,000원","22:10,  석조저택 살인사건(디지털),  16,000원",,120
2017-05-14,01관,"19:50,  가디언즈 오브 갤럭시 VOL. 2(3D 디지털),  16,000원","22:20,  보안관(디지털),  16,000원",,200
2017-05-14,02관,"20:00,  석조저택 살인사건(디지털),  16,000원","22:10,  석조저택 살인사건(디지털),  16,000원",,120
2017-05-15,01관,"19:50,  가디언즈 오브 갤럭시 VOL. 2(3D 디지털),  16,000원","22:10,  보안관(디지털),  16,000원",,200
2017-05-15,02관,"20:00,  석조저택 살인사건(디지털),  16,000원","22:10,  석조저택 살인사건(디지털),  16,000원",,120
2017-05-16,01관,"19:50,  가디언즈 오브 갤럭시 VOL. 2(3D 디지털),  16,000원","22:10,  보안관(디지털),  16,000원",,200
2017-05-16,02관,"20:00,  석조저택 살인사건(디지털),  16,000원","22:10,  석조저택 살인사건(디지털),  16,000원",,120
2017-05-17,01관,"20:00,  불한당: 나쁜 놈들의 세상(디지털),  16,000원","22:20,  보안관(디지털),  16,000원",,200
2017-05-17,02관,"19:50,  가디언즈 오브 갤럭시 VOL. 2(3D 디지털),  16,000원","22:20,  석조저택 살인사건(디지털)",,120
2017-05-18,01관,"20:00,  불한당: 나쁜 놈들의 세상(디지털),  16,000원","22:10,  불한당: 나쁜 놈들의 세상(디지털),  16,000원","24:00,  석조저택 살인사건(디지털),  16,000원",200
2017-05-18,02관,"19:50,  가디언즈 오브 갤럭시 VOL. 2(3D 디지털),  16,000원","22:20,  보안관(디지털),  16,000원",,120
2017-05-19,01관,"19:50,  불한당: 나쁜 놈들의 세상(디지털),  16,000원","22:20,  불한당: 나쁜 놈들의 세상(디지털),  16,000원",,200
2017-05-19,02관,"20:00,  석조저택 살인사건(디지털),  16,000원","22:10,  보안관(디지털),  16,000원",,120
2017-05-20,01관,"19:50,  불한당: 나쁜 놈들의 세상(디지털),  16,000원","22:20,  불한당: 나쁜 놈들의 세상(디지털),  16,000원",,200
2017-05-20,02관,"20:00,  석조저택 살인사건(디지털),  16,000원","22:10,  보안관(디지털),  16,000원",,120
2017-05-21,01관,"19:50,  불한당: 나쁜 놈들의 세상(디지털),  16,000원","22:20,  불한당: 나쁜 놈들의 세상(디지털),  16,000원",,200
2017-05-21,02관,"20:00,  석조저택 살인사건(디지털),  16,000원","22:10,  보안관(디지털),  16,000원",,120
2017-05-22,01관,"19:50,  불한당: 나쁜 놈들의 세상(디지털),  16,000원","22:20,  불한당: 나쁜 놈들의 세상(디지털),  16,000원",,200
2017-05-22,02관,"20:00,  석조저택 살인사건(디지털),  16,000원","22:10,  보안관(디지털),  16,000원",,120
