1회,2회,3회,4회,5회,6회,7회,8회,상영관,상영일자,좌석수
"10:35,  미성년(디지털),  11,000원",,,,"19:00,  미성년(디지털),  12,000원","21:05,  미성년(디지털),  10,000원","23:10,  아이 엠 마더(디지털),  11,000원",,샤롯데,2019-04-13,30
,,,"13:30,  헬보이(디지털),  10,000원",,"21:05,  헬보이(디지털),  12,000원","23:35,  아이 엠 마더(디지털),  12,000원",,샤롯데,2019-04-14,30
,,,,"19:20,  미성년(디지털),  8,000원",,,,샤롯데,2019-04-16,30
,,"16:55,  아이 엠 마더(디지털),  8,000원",,"21:30,  헬보이(디지털),  10,000원",,,,샤롯데,2019-04-17,30
,,,,"20:00,  노팅 힐(디지털),  10,000원",,,,샤롯데,2019-04-18,30
"10:30,  노팅 힐(디지털),  11,000원",,"15:05,  노팅 힐(디지털),  10,000원",,"20:00,  노팅 힐(디지털),  12,000원",,,,샤롯데,2019-04-19,30
,,"15:05,  노팅 힐(디지털),  12,000원","17:35,  캡틴 마블(디지털),  12,000원","20:10,  노팅 힐(디지털),  12,000원","22:40,  캡틴 마블(디지털),  12,000원",,,샤롯데,2019-04-20,30
"10:45,  캡틴 마블(디지털),  11,000원","13:20,  캡틴 마블(디지털),  10,000원","17:00,  아이 엠 마더(디지털),  10,000원","19:05,  노팅 힐(디지털),  12,000원","21:35,  캡틴 마블(디지털),  12,000원",,,,샤롯데,2019-04-21,30
"11:00,  캡틴 마블(디지털),  7,000원","13:35,  캡틴 마블(디지털),  8,000원","16:10,  노팅 힐(디지털),  8,000원","18:40,  캡틴 마블(디지털),  8,000원","21:15,  캡틴 마블(디지털),  8,000원",,,,샤롯데,2019-04-22,30
,"13:35,  캡틴 마블(디지털),  10,000원",,"18:40,  캡틴 마블(디지털),  8,000원","21:15,  캡틴 마블(디지털),  8,000원",,,,샤롯데,2019-04-23,30
"10:30,  어벤져스: 엔드게임(디지털),  9,000원","14:00,  라 바야데르(디지털),  0원","17:00,  어벤져스: 엔드게임(디지털),  10,000원","20:30,  어벤져스: 엔드게임(디지털),  10,000원","24:00,  어벤져스: 엔드게임(디지털),  9,000원",,,,샤롯데,2019-04-24,30
"11:30,  어벤져스: 엔드게임(디지털),  9,000원","15:05,  어벤져스: 엔드게임(디지털),  10,000원","18:40,  어벤져스: 엔드게임(디지털),  8,000원","22:15,  어벤져스: 엔드게임(디지털),  10,000원",,,,,샤롯데,2019-04-25,30
