상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2018-12-10,01관,"09:30,  국가부도의 날(디지털),  7,700원","11:40,  국가부도의 날(디지털),  7,700원",,"20:40,  국가부도의 날(디지털),  7,700원",,,78
2018-12-10,02관,"09:00,  후드(디지털),  3,850원","20:30,  도어락(디지털),  7,700원",,,,,78
2018-12-10,03관,"09:30,  별나라 몰리 몬스터(디지털),  7,700원",,,,,,78
2018-12-11,01관,"11:10,  국가부도의 날(디지털),  7,700원","13:30,  성난황소(디지털),  7,700원","20:20,  국가부도의 날(디지털),  7,700원",,,,78
2018-12-11,02관,,"20:20,  도어락(디지털),  7,700원",,,,,78
2018-12-11,03관,"20:30,  성난황소(디지털),  7,700원",,,,,,78
2018-12-12,01관,"13:40,  성난황소(디지털),  7,700원","15:50,  국가부도의 날(디지털),  7,700원","20:20,  국가부도의 날(디지털),  7,700원",,,,78
2018-12-12,02관,"13:50,  국가부도의 날(디지털),  7,700원",,,,,,78
2018-12-12,03관,"10:30,  런닝맨 : 풀룰루의 역습(디지털),  7,700원","14:10,  별나라 몰리 몬스터(디지털),  7,700원",,,,,78
2018-12-13,01관,,"15:20,  국가부도의 날(디지털),  7,700원","20:00,  국가부도의 날(디지털),  7,700원",,,,78
2018-12-13,02관,"10:30,  국가부도의 날(디지털),  11,000원","18:00,  국가부도의 날(디지털),  7,700원",,,,,78
2018-12-13,03관,"10:30,  런닝맨 : 풀룰루의 역습(디지털),  7,700원",,,,,,78
2018-12-14,01관,"10:00,  국가부도의 날(디지털),  8,400원","16:20,  국가부도의 날(디지털),  8,400원","20:30,  국가부도의 날(디지털),  8,400원",,,,78
2018-12-14,02관,"12:20,  국가부도의 날(디지털),  8,400원","14:30,  국가부도의 날(디지털),  8,400원","18:40,  국가부도의 날(디지털),  8,400원",,,,78
2018-12-14,03관,"14:30,  별나라 몰리 몬스터(디지털),  8,400원","17:20,  런닝맨 : 풀룰루의 역습(디지털),  8,400원",,,,,78
2018-12-15,01관,"11:20,  국가부도의 날(디지털),  8,400원","15:50,  국가부도의 날(디지털),  8,400원","20:20,  국가부도의 날(디지털),  8,400원",,,,78
2018-12-15,02관,"09:00,  도어락(디지털),  8,400원","18:00,  국가부도의 날(디지털),  8,400원",,,,,78
2018-12-15,03관,"10:30,  스파이더맨: 뉴 유니버스(디지털),  8,400원","18:30,  스파이더맨: 뉴 유니버스(디지털),  8,400원","15:50,  런닝맨 : 풀룰루의 역습(디지털),  8,400원","17:10,  런닝맨 : 풀룰루의 역습(디지털),  8,400원",,,78
2018-12-16,01관,"11:20,  국가부도의 날(디지털),  8,400원","15:50,  국가부도의 날(디지털),  8,400원","20:20,  국가부도의 날(디지털),  8,400원",,,,78
2018-12-16,02관,"11:00,  성난황소(디지털),  8,400원","15:40,  성난황소(디지털),  8,400원",,,,,78
2018-12-16,03관,"10:30,  스파이더맨: 뉴 유니버스(디지털),  8,400원","12:50,  런닝맨 : 풀룰루의 역습(디지털),  8,400원","15:50,  런닝맨 : 풀룰루의 역습(디지털),  8,400원",,,,78
2018-12-17,01관,"13:40,  도어락(디지털),  7,700원","15:50,  국가부도의 날(디지털),  7,700원",,,,,78
2018-12-17,02관,"09:00,  도어락(디지털),  7,700원","18:00,  국가부도의 날(디지털),  7,700원",,,,,78
2018-12-18,01관,"13:40,  도어락(디지털),  7,700원","18:10,  도어락(디지털),  7,700원","20:20,  국가부도의 날(디지털),  7,700원",,,,78
2018-12-18,02관,,"15:40,  성난황소(디지털),  7,700원",,,,,78
2018-12-18,03관,"09:30,  스파이더맨: 뉴 유니버스(디지털),  7,700원","15:00,  스파이더맨: 뉴 유니버스(디지털),  7,700원",,,,,78
2018-12-19,01관,"13:40,  마약왕(디지털),  11,000원","18:40,  마약왕(디지털),  7,700원","21:10,  스윙키즈(디지털),  7,700원",,,,78
2018-12-19,02관,"09:00,  마약왕(디지털),  7,700원","15:50,  마약왕(디지털),  7,700원","20:50,  마약왕(디지털),  7,700원",,,,78
2018-12-19,03관,,"19:10,  아쿠아맨(디지털),  7,700원","17:20,  극장판 포켓몬스터 모두의 이야기(디지털),  7,700원",,,,78
2018-12-20,01관,,"15:00,  스윙키즈(디지털),  7,700원",,,,,78
2018-12-20,02관,"15:30,  마약왕(디지털),  7,700원","20:40,  마약왕(디지털),  7,700원",,,,,78
2018-12-20,03관,"09:30,  극장판 포켓몬스터 모두의 이야기(디지털),  7,700원","15:10,  극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~(디지털더빙),  7,700원",,,,,78
2018-12-21,01관,"10:00,  스윙키즈(디지털),  8,400원","15:40,  스윙키즈(디지털),  8,400원","21:00,  스윙키즈(디지털),  4,200원",,,,78
2018-12-21,02관,"13:30,  스윙키즈(디지털),  8,400원","18:30,  스윙키즈(디지털),  8,400원",,,,,78
2018-12-21,03관,,"13:20,  극장판 포켓몬스터 모두의 이야기(디지털),  8,400원",,,,,78
2018-12-22,01관,"12:30,  스윙키즈(디지털),  12,000원","15:10,  마약왕(디지털),  8,400원","20:30,  마약왕(디지털),  8,400원",,,,78
