상영일자,상영관,1회,2회,좌석수
2018-05-04,01관,"01:00,  딸의 애인(디지털),  20,000원",,90
2018-05-09,01관,"01:00,  어린 이모(디지털),  20,000원",,90
2018-05-10,01관,"01:00,  아내의 엄마(디지털),  20,000원",,90
2018-05-16,01관,"01:00,  걸스 스텝(디지털),  20,000원",,90
2018-05-17,01관,"01:00,  내 엄마의 친구(디지털),  20,000원",,90
2018-05-22,01관,"01:00,  장모학개론(디지털),  20,000원",,90
2018-05-27,01관,"22:40,  독전(디지털),  20,000원",,90
2018-05-28,01관,"22:40,  독전(디지털),  20,000원",,90
2018-05-29,01관,"01:00,  엄마의 연애(디지털),  20,000원",,90
2018-05-30,01관,"22:40,  독전(디지털),  20,000원",,90
2018-05-31,01관,"01:00,  정사 : 어린 새엄마(디지털),  20,000원",,90
2018-06-05,01관,"01:00,  초대녀(디지털),  20,000원",,90
2018-06-07,01관,"01:00,  착한 형수 3(디지털),  20,000원",,90
2018-06-12,01관,"01:00,  가슴큰누나들(디지털),  20,000원",,90
2018-06-14,01관,"01:00,  아내의 애인 2(디지털),  20,000원",,90
2018-06-21,01관,"01:00,  애인 : 아내의 남자(디지털),  20,000원",,90
2018-06-22,01관,"01:00,  정사 : 캠퍼스 커플(디지털),  20,000원",,90
2018-06-26,01관,"01:00,  하숙집 여자들(디지털),  20,000원",,90
2018-06-28,01관,"01:00,  밀애 : 부부카풀(디지털),  20,000원",,90
2018-06-29,01관,"01:00,  친구엄마들(디지털)","17:00,  미투 숨겨진 진실(디지털),  20,000원",90
2018-06-30,01관,"19:20,  탐정: 리턴즈(디지털),  20,000원",,90
2018-07-03,01관,"19:20,  탐정: 리턴즈(디지털)",,90
2018-07-05,01관,"01:00,  친구엄마들(디지털),  20,000원",,90
2018-07-09,01관,"01:00,  착한 장모(디지털),  20,000원",,90
2018-07-10,01관,"01:00,  연애 : 엄마친구(디지털),  20,000원",,90
2018-07-12,01관,"01:00,  신혼부부의 성생활(디지털),  20,000원",,90
2018-07-19,01관,"01:00,  스와핑 : 친구의 아내 2(디지털),  20,000원",,90
2018-07-20,01관,"20:30,  앤트맨과 와스프(디지털)",,90
2018-07-21,01관,"20:30,  앤트맨과 와스프(디지털)",,90
2018-07-22,01관,"20:30,  앤트맨과 와스프(디지털)",,90
2018-07-26,01관,"01:00,  정사 : 처제의 사랑(디지털),  20,000원",,90
2018-07-27,01관,"20:20,  인랑(디지털),  20,000원",,90
2018-07-28,01관,"20:20,  인랑(디지털),  20,000원",,90
2018-07-29,01관,"20:20,  인랑(디지털)",,90
2018-07-31,01관,"01:00,  엄마의 유혹(디지털),  20,000원",,90
2018-08-02,01관,"01:00,  여교사 : 제자와의 사랑(디지털),  20,000원",,90
2018-08-09,01관,"01:00,  룸싸롱 맛있는 서비스(디지털),  20,000원",,90
2018-08-14,01관,"01:00,  어린 처제 2(디지털),  20,000원",,90
2018-08-16,01관,"01:00,  더티웨딩(디지털),  20,000원",,90
2018-08-24,01관,"01:00,  엄마친구 5(디지털),  20,000원",,90
2018-08-30,01관,"01:00,  여친엄마 2(디지털),  20,000원",,90
2018-08-31,01관,"22:20,  상류사회(디지털),  20,000원",,90
2018-09-01,01관,"22:20,  상류사회(디지털)",,90
2018-09-02,01관,"22:20,  상류사회(디지털)",,90
2018-09-07,01관,"01:00,  과외의 추억(디지털),  20,000원",,90
2018-09-13,01관,"01:00,  엄마친구들 2(디지털),  20,000원",,90
2018-09-21,01관,"01:00,  정사 : 착한 숙모(디지털),  20,000원",,90
2018-09-24,01관,"20:00,  안시성(디지털),  20,000원",,90
2018-09-25,01관,"20:00,  안시성(디지털),  20,000원",,90
2018-09-28,01관,"01:00,  젊은 엄마 친구(디지털),  20,000원",,90
2018-09-30,01관,"20:00,  안시성(디지털),  20,000원",,90
2018-10-04,01관,"01:00,  여친 언니(디지털),  20,000원",,90
2018-10-08,01관,"01:00,  착한 친구엄마(디지털),  20,000원",,90
2018-10-12,01관,"01:00,  착한 자매들(디지털),  20,000원",,90
2018-10-15,01관,"01:00,  조건아빠: 슈가대디(디지털),  20,000원",,90
2018-10-19,01관,"01:00,  착한 엄마 2(디지털),  20,000원",,90
2018-10-25,01관,"01:00,  이웃집 아내(디지털),  20,000원",,90
2018-10-29,01관,"01:00,  우리가족같이(디지털),  20,000원",,90
2018-10-31,01관,"02:30,  밀애 : 친구의 아내(디지털),  20,000원","21:50,  밀애 : 친구의 아내(디지털),  20,000원",90
2018-11-01,01관,"01:00,  어린 누나 2(디지털),  20,000원",,90
2018-11-09,01관,"01:00,  노래방 : 화끈한 여자들(디지털),  20,000원",,90
2018-11-14,01관,"01:00,  조건엄마:슈가맘(디지털),  20,000원",,90
2018-11-15,01관,"01:00,  밀애 : 아내의 여동생(디지털),  20,000원",,90
2018-11-16,01관,"17:00,  리플레이스(디지털),  20,000원",,90
2018-11-20,01관,"01:00,  은밀한 여작가의 사생활 (디지털),  20,000원",,90
2018-11-22,01관,"01:00,  동갑내기 엄마(디지털),  20,000원",,90
2018-11-29,01관,"04:00,  정사 : 착한 며느리들 2(디지털),  20,000원",,90
2018-11-30,01관,"23:59,  정사 : 착한 며느리들 2(디지털),  20,000원",,90
2018-12-04,01관,"01:00,  내 여자친구의 엄마(디지털),  20,000원",,90
2018-12-12,01관,"01:00,  자매의교환섹스(디지털),  20,000원",,90
2018-12-14,01관,"01:00,  사돈처녀(디지털),  20,000원",,90
2018-12-18,01관,"01:00,  여선생2(디지털),  20,000원",,90
2018-12-19,01관,"01:00,  맛있는 누나들(디지털),  20,000원",,90
2018-12-26,01관,"01:00,  가정부 길들이기(디지털),  20,000원",,90
2018-12-28,01관,"01:00,  초대녀 2(디지털),  20,000원",,90
2018-12-30,01관,"23:00,  초대녀 2(디지털),  20,000원",,90
2019-01-03,01관,"01:00,  상류시대(디지털),  20,000원",,90
2019-01-04,01관,"01:00,  어린 형수 4(디지털),  20,000원",,90
2019-01-11,01관,"01:00,  후배부부와 교환섹스-무삭제(디지털),  20,000원",,90
2019-01-14,01관,"17:00,  극장판 포켓몬스터 모두의 이야기(디지털),  20,000원",,90
2019-01-15,01관,"01:00,  등산의 참맛(디지털),  20,000원",,90
2019-01-29,01관,"01:00,  젊은 미망인(디지털),  20,000원",,90
2019-01-30,01관,"01:00,  딸의 애인 2(디지털),  20,000원",,90
2019-01-31,01관,"01:00,  그대 이름은 장미(디지털),  20,000원","20:00,  그대 이름은 장미(디지털),  20,000원",90
2019-02-12,01관,"16:00,  발기찬 처가살이(디지털),  20,000원",,90
2019-02-15,01관,"16:00,  자매의은밀한스와핑-무삭제(디지털),  20,000원",,90
2019-02-21,01관,"16:00,  로드킬(디지털),  20,000원",,90
2019-02-22,01관,"02:00,  장모의유혹(디지털),  20,000원",,90
2019-02-25,01관,"16:00,  우리 도련님(디지털),  20,000원",,90
2019-02-27,01관,"14:00,  스튜디오(디지털),  20,000원",,90
2019-02-28,01관,"16:00,  욜로 유 온리 리브 원스(디지털),  20,000원",,90
2019-03-08,01관,"16:00,  가슴 큰 여자친구(디지털),  20,000원",,90
2019-03-14,01관,"16:00,  엄마 애인 2(디지털),  20,000원",,90
2019-03-15,01관,"16:00,  옆집 아가씨(디지털),  20,000원",,90
2019-03-21,01관,"14:00,  딸의 친구 3 (디지털),  20,000원",,90
2019-03-24,01관,"19:20,  돈(디지털)",,90
2019-03-25,01관,"19:20,  돈(디지털)",,90
2019-03-26,01관,"19:20,  돈(디지털)",,90
2019-03-27,01관,"19:20,  돈(디지털)",,90
2019-03-28,01관,"12:00,  다방엄마(디지털),  20,000원",,90
2019-03-29,01관,"16:00,  동생의 여자-무삭제(디지털),  20,000원",,90
2019-03-31,01관,"23:00,  다방엄마(디지털),  20,000원",,90
