companyCd,companyNm,companyPartNm,movieCd
20139617,(주)리틀빅픽쳐스,배급사,20159161
20141528,산수벤처스,제공,20159161
20139617,(주)리틀빅픽쳐스,제공,20159161
20100851,(주)화인컷,해외세일즈사,20159161
20100385,(주)다세포클럽,제작사,20147130
20125555,(주)코리아스토리 ,제작사,20147130
20141088,와이드 릴리즈(주),배급사,20147130
20122495,(주)두타연,제공,20147130
20141528,산수벤처스,공동제공,20147130
20100385,(주)다세포클럽,해외세일즈사,20147130
20123060,(주)루카프로덕션,제작사,20153422
20141469,메가박스중앙(주)플러스엠,배급사,20153422
20125155,(주)미디어로그,수입사,20153422
20100292,(주)아이필름홀딩스,제작사,20135264
20102327,CGV아트하우스,배급사,20135264
20100514,(주)아이에이치큐,제공,20135264
20100453,아이러브시네마,제공,20135264
20100851,(주)화인컷,해외세일즈사,20135264
20137935,반달,제작사,20141702
20111582,(주)엣나인필름,배급사,20141702
20142488,(주)독에어,해외세일즈사,20141702
20142088,(주)얼리버드픽쳐스,제작사,20153801
20155909,(주)쏘울 크리에이티브,제작사,20153801
20139617,(주)리틀빅픽쳐스,배급사,20153801
20141088,와이드 릴리즈(주),공동제공,20153801
20154709,(주)보고싶은영화사,제작사,20153311
20100520,롯데쇼핑㈜롯데엔터테인먼트,배급사,20153311
20100520,롯데쇼핑㈜롯데엔터테인먼트,제공,20153311
20100520,롯데쇼핑㈜롯데엔터테인먼트,해외세일즈사,20153311
20140448,(주)담소필름,제작사,20158701
20153568,(주)스톰픽쳐스코리아,배급사,20158701
20153568,(주)스톰픽쳐스코리아,제공,20158701
20123063,(주)빅스톤픽쳐스,제작사,20157431
20100932,(주)넥스트엔터테인먼트월드(NEW),배급사,20157431
20100932,(주)넥스트엔터테인먼트월드(NEW),제공,20157431
20142968,(주)콘텐츠판다,해외세일즈사,20157431
20143408,영화사 벽돌,제작사,20141612
20100929,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),배급사,20141612
20100904,(주)엠라인디스트리뷰션,해외세일즈사,20141612
20154649,(주)크레이지버드스튜디오,제작사,20154323
20155508,(주)에이원엔터테인먼트,배급사,20154323
20139236,(주)에스엠 컬처앤콘텐츠,제작사,20152870
20141349,주식회사 디에스이이디,배급사,20152870
20139236,(주)에스엠 컬처앤콘텐츠,제공,20152870
20158128,4.16 세월호 참사 시민기록위원회,제작사,20156047
20158129,<나쁜 나라> 배급위원회,배급사,20156047
20123217,(주)시네마달,배급사,20156047
20123217,(주)시네마달,해외세일즈사,20156047
20141157,(주)유비콘텐츠,제작사,20141002
20063218,주식회사 유비컬쳐,제작사,20141002
20157108,(주)영화사 안다미로,배급사,20141002
20141157,(주)유비콘텐츠,해외세일즈사,20141002
20100369,민병훈필름,제작사,20140190
20139617,(주)리틀빅픽쳐스,배급사,20140190
20100904,(주)엠라인디스트리뷰션,해외세일즈사,20140190
20100036,㈜인디스토리,제작사,20134800
20100036,㈜인디스토리,배급사,20134800
20100036,㈜인디스토리,제공,20134800
20100036,㈜인디스토리,해외세일즈사,20134800
20063240,파이오니아21,제작사,20158951
20063240,파이오니아21,배급사,20158951
20114864,세컨드윈드 필름,제작사,20148449
20155648,(유)산다문화산업전문회사 ,제작사,20148449
20139617,(주)리틀빅픽쳐스,배급사,20148449
20141528,산수벤처스,제공,20148449
20100652,(재)전주국제영화제조직위원회,제공,20148449
20100410,오퍼스픽쳐스(유),공동제공,20148449
20139617,(주)리틀빅픽쳐스,공동제공,20148449
20155668,주식회사 다양상회,공동제공,20148449
20100851,(주)화인컷,해외세일즈사,20148449
20142790,영화사 낭만,제작사,20148982
20100929,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),배급사,20148982
20100929,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),제공,20148982
20123217,(주)시네마달,해외세일즈사,20148982
20123255,(주)레인보우팩토리,제작사,20141705
20100631,(주)영화사 진진,배급사,20141705
20123255,(주)레인보우팩토리,제공,20141705
20100631,(주)영화사 진진,공동제공,20141705
20100904,(주)엠라인디스트리뷰션,해외세일즈사,20141705
20157394,방인리필름,제작사,20141608
20114894,(주)대명문화공장,배급사,20141608
20139617,(주)리틀빅픽쳐스,배급사,20141608
20114894,(주)대명문화공장,제공,20141608
20100904,(주)엠라인디스트리뷰션,해외세일즈사,20141608
20030042,(주)팡고엔터토이먼트,제작사,20158682
20122837,(주)팝엔터테인먼트,배급사,20158682
20124555,(주)쿠나,제작사,20127568
20101104,(주)나이너스엔터테인먼트,배급사,20127568
20101104,(주)나이너스엔터테인먼트,제공,20127568
20139475,유영분장,제작서비스-분장/헤어,20127568
20100836,스튜디오두마,제작사,20148676
20123217,(주)시네마달,제작사,20148676
20123217,(주)시네마달,배급사,20148676
20123217,(주)시네마달,해외세일즈사,20148676
20153788,Studio Allo,제작사,20145202
20141508,"애니메이션 배급, 씨앗",배급사,20145202
20100036,㈜인디스토리,배급사,20145202
20101097,(주) 루스이소니도스,제작사,20148685
20101097,(주) 루스이소니도스,배급사,20148685
20100652,(재)전주국제영화제조직위원회,제공,20148685
20101097,(주) 루스이소니도스,공동제공,20148685
20123997,(주)컨텐츠로드,공동제공,20148685
20100410,오퍼스픽쳐스(유),해외세일즈사,20148685
20153908,플레인 픽처스,제작사,20133803
20123217,(주)시네마달,배급사,20133803
20063246,서울독립영화제,제작사,20143717
20063002,(주)인디플러그,배급사,20143717
20063002,(주)인디플러그,제공,20143717
20143449,영화 고양이 장례식 제작 조합,제작사,20144601
20063002,(주)인디플러그,배급사,20144601
20063002,(주)인디플러그,제공,20144601
20141528,산수벤처스,공동제공,20144601
20100036,㈜인디스토리,해외세일즈사,20144601
20157408,브릿지 프로덕션,제작사,20141610
20142968,(주)콘텐츠판다,배급사,20141610
20142968,(주)콘텐츠판다,제공,20141610
20142968,(주)콘텐츠판다,해외세일즈사,20141610
20122497,(유)조이앤컨텐츠그룹,제작사,20149298
20063187,㈜리필름,제작사,20149298
20143338,(주)드림팩트엔터테인먼트,배급사,20149298
20122497,(유)조이앤컨텐츠그룹,제공,20149298
20101104,(주)나이너스엔터테인먼트,해외세일즈사,20149298
20158068,(주)예스컴,제작사,20153307
20141039,하준사,제작사,20153307
20141039,하준사,배급사,20153307
20103809,(주)미로비젼,해외세일즈사,20153307
20063094,(주)맑음영화사,제작사,20124398
20124055,(주)마인스 엔터테인먼트,배급사,20124398
20101135,주식회사 마운틴픽쳐스,배급사,20124398
20122996,일반사단법인 유메켄세츠기구,제공,20124398
20101104,(주)나이너스엔터테인먼트,해외세일즈사,20124398
20141069,미라클필름,제작사,20148631
20062854,(주)꿈길제작소,제작사,20148631
20140868,허철필름,제작사,20148631
20141069,미라클필름,배급사,20148631
20157088,(주)영화사 북촌,제작사,20142403
20157948,대국미디어그룹,제작사,20142403
20157949,한국방송예술교육진흥원 ,제작사,20142403
20157950,영화사 키노(주),제작사,20142403
20101135,주식회사 마운틴픽쳐스,배급사,20142403
20101135,주식회사 마운틴픽쳐스,해외세일즈사,20142403
20100933,(주)률필름,제작사,20152064
20111081,(주)스마일이엔티,제작사,20152064
20111081,(주)스마일이엔티,배급사,20152064
20142968,(주)콘텐츠판다,해외세일즈사,20152064
20061772,(주)영화사메이플러스,제작사,20163218
20154408,THE 픽쳐스,배급사,20163218
20101135,주식회사 마운틴픽쳐스,배급사,20163218
20101135,주식회사 마운틴픽쳐스,해외세일즈사,20163218
20143332,창작집단917,제작사,20133531
20155489,민프로덕션,제작사,20133531
20063002,(주)인디플러그,배급사,20133531
20063002,(주)인디플러그,제공,20133531
20136955,캣앤독스,해외세일즈사,20133531
20130310,(주)고앤고필름,제작사,20144422
20142369,(유)조이앤시네마,배급사,20144422
20110370,제주 영상위원회,제공,20144422
20142369,(유)조이앤시네마,제공,20144422
20130310,(주)고앤고필름,공동제공,20144422
20101104,(주)나이너스엔터테인먼트,해외세일즈사,20144422
20126575,오지필름,제작사,20141110
20123217,(주)시네마달,배급사,20141110
20126575,오지필름,제공,20141110
20123217,(주)시네마달,해외세일즈사,20141110
20100781,(주)티피에스컴퍼니,제작사,20130260
20062886,필름문,제작사,20130260
20122471,(주)인벤트스톤,배급사,20130260
20142849,(주)영화사오원,배급사,20130260
20122471,(주)인벤트스톤,제공,20130260
20062161,전재홍 필름,제작사,20141613
20130368,(주)씨제이에스지 마당엔터테인먼트,제작사,20141613
20100036,㈜인디스토리,배급사,20141613
20100851,(주)화인컷,해외세일즈사,20141613
20157748,exposed film,제작사,20141081
20100036,㈜인디스토리,배급사,20141081
20100036,㈜인디스토리,해외세일즈사,20141081
20156508,레드무비,제작사,20136000
20062249,(주)따미픽쳐스,배급사,20136000
20111258,(주)한국시나리오작가영상제작단,제작사,20149259
20143338,(주)드림팩트엔터테인먼트,배급사,20149259
20100904,(주)엠라인디스트리뷰션,해외세일즈사,20149259
20158188,사십이,제작사,20141583
20100036,㈜인디스토리,배급사,20141583
20100904,(주)엠라인디스트리뷰션,해외세일즈사,20141583
20125955,(주)타이거시네마,제작사,20158795
