주연배우,배우성별,배우필모,필모갯수
여민정,여자,극장판 공룡메카드: 타이니소어의 섬|극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~|신비아파트: 금빛 도깨비와 비밀의 동굴|극장판 요괴워치 섀도사이드: 도깨비왕의 부활|극장판 레이디버그: 미라클스톤의 비밀|극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계|극장판 짱구는 못말려 : 습격!! 외계인 덩덩이|리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국|레이디버그|짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격|극장판 안녕 자두야|명탐정 코난:감벽의 관,12
박지영,여자,"오! 문희|링거링|소공녀|범죄의 여왕|굿바이 싱글|성난 변호사|후궁 : 제왕의 첩|하녀|바다 쪽으로, 한 뼘 더|우아한 세계|메모리즈|외계인이다",12
한지민,여자,김복동|미쓰백|허스토리|그것만이 내 세상|밀정|장수상회|역린|플랜맨|조선명탐정 : 각시투구꽃의 비밀|해부학 교실|청연|두개의 빛: 릴루미노,12
이선,여자,뽀로로 극장판 보물섬 대모험|뽀로로 극장판 공룡섬 대모험|모험왕 블링키|짐작보다 따뜻하게|뽀로로 극장판 컴퓨터 왕국 대모험|극장판 아이엠스타 : 꿈의 오디션!|꼬마영웅 경찰차 프로디2|뽀로로 극장판 슈퍼썰매 대모험|모모와 다락방의 수상한 요괴들|꼬마영웅 경찰차 프로디|뽀로로의 대모험|뽀로로 극장판 눈요정 마을 대모험,12
수애,여자,상류사회|국가대표 2|감기|아테나: 전쟁의 여신|심야의 F.M.|불꽃처럼 나비처럼|님은 먼 곳에|그해 여름|나의 결혼원정기|가족|티파니에서 아침을,11
최강희,여자,"순종|그 사람 그 사랑 그 세상|미나문방구|쩨쩨한 로맨스|애자|내 사랑|달콤, 살벌한 연인|와니와 준하|행복한 장의사|여고괴담|그녀의 전설",11
이혜은,여자,"컴, 투게더|그랑프리|두 얼굴의 여친|그해 여름|엄마|빨간 피터의 고백|춘향뎐(春香傳)|인정사정 볼 것 없다|파란대문|코르셋|파출부, 아니다",11
이일화,여자,기방도령|탐정: 리턴즈|천화|아빠는 딸|원라인|탐정 : 더 비기닝|패션왕|반두비|로맨틱 아일랜드|날나리 종부전|그리움엔 이유가 없다,11
조현정,여자,극장판 도라에몽: 진구의 달 탐사기|극장판 파워레인저 갤럭시포스 VS 스페이스 스쿼드|극장판 도라에몽: 진구의 보물섬|신비아파트: 금빛 도깨비와 비밀의 동굴|터닝메카드W: 반다인의 비밀 특별판|극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계|극장판 도라에몽: 신 진구의 버스 오브 재팬|빌리와 용감한 녀석들 3|뽀로로 극장판 슈퍼썰매 대모험|춤추는 꿈틀이 밴드|제불찰씨 이야기,11
이요원,여자,"그래, 가족|전설의 주먹|용의자X|된장|화려한 휴가|광식이 동생 광태|서프라이즈|아프리카|고양이를 부탁해|주유소 습격사건|남자의 향기",11
