filmoNames,movieNm,peopleCd,peopleNm,repRoleNm
약장수|사랑에도 저작권이 있나요?|시선|가시|연애의 온도|맨발의 꿈,약장수,20138384,조치언,감독
"오 마이 파파|나의 아들, 나의 어머니|춘희막이|님아, 그 강을 건너지 마오|안녕?! 오케스트라",춘희막이,20187247,박혁지,감독
"에움길|소리꾼|귀향, 끝나지 않은 이야기|귀향|파울볼|두레소리",파울볼,10066934,조정래,감독
"파울볼|사랑한다, 사랑하지 않는다|시라노; 연애조작단|멋진 하루|가을로|혈의 누",파울볼,20144559,김보경,조감독
내 연적의 모든 것|성실한 나라의 앨리스|무게|시|작은 연못|더블 클러치|우리 집에 놀러 오세요|KAFA 단편 2,성실한 나라의 앨리스,20112403,안국진,감독
한여름의 판타지아|잠 못 드는 밤|나나나 : 여배우 민낯 프로젝트|회오리 바람|저수지에서 건진 치타|꿈속에서|영재를 기다리며|히치하이킹|싸움에 들게 하지 마소서|하드보일드 초콜릿 스타일|진혼곡|학교 다녀왔습니다.|6월 수요단편극장 <한여름의 판타지아> 개봉 기념 특별전|이제 난 용감해질거야,한여름의 판타지아,10060025,장건재,감독
타이밍|애니 프란체스카,타이밍,10028546,박대열,감독
타이밍|오디션,타이밍,10027767,민경조,감독
검은손|외톨이,검은손,10029120,박재식,감독
로마의 휴일|어떤살인,어떤살인,20195674,안용훈,감독
태양을 쏴라 무삭제판|태양을 쏴라|숙희|나쁜 놈이 더 잘 잔다|도쿄택시|아내의 애인을 만나다|붉은 바캉스|붉은 바캉스 검은 웨딩,태양을 쏴라 무삭제판,10006101,김태식,감독
고녀석 맛나겠다2 : 함께라서 행복해|오세암,고녀석 맛나겠다2 : 함께라서 행복해,20191153,최경석,감독
고녀석 맛나겠다2 : 함께라서 행복해,고녀석 맛나겠다2 : 함께라서 행복해,20188032,노나카 카즈미,감독
남산의 부장들|마약왕|내부자들: 디 오리지널|내부자들|간첩|파괴된 사나이|누가 예수를 죽였는가?,내부자들: 디 오리지널,20111283,우민호,감독
물비늘|젊은이의 양지|유리정원|마돈나|명왕성|레인보우|순환선|면도를 하다|가족시네마|이제 난 용감해질거야,마돈나,10040434,신수원,감독
춘몽|그랜드파더|타투|사람을 찾습니다|말아톤|아카시아(Acacia)|클래식|일단뛰어|화이팅 패밀리 '해마 가족',타투,10055931,이서,감독
제 7기사단|폭렬닌자 고에몬|캐산,제 7기사단,10078569,키리야 카즈아키,감독
돼지 같은 여자|바람피기 좋은 날|파랑주의보|행복한 장의사,돼지 같은 여자,10060160,장문일,감독
우리를 갈라놓는 것들|교환일기|환생|려행|위로공단|위로공단 특별판|비념|형제봉 가는 길|북한산|긴 이별|숭시|꿈이 아니다|환영|잘 가시오|승리의 의지|추억록|건전비디오1-새마을노래|내 사랑 지하|태평동아리랑|SIFF2018-통일기획전 7,위로공단,20120501,임흥순,감독
"을식이는 재수 없어|안녕, 전우치! 도술로봇대결전|안녕, 전우치 스페셜","안녕, 전우치! 도술로봇대결전",20214346,김대창,감독
기적의 피아노|법정스님의 의자,기적의 피아노,10058611,임성구,감독
"기적의 피아노|스파이 파파|여름, 속삭임|그림자|개같은 날의 오후|그대안의 블루|낙타는 따로 울지 않는다",기적의 피아노,20110270,김은주,프로듀서
세상끝의 사랑|초대|얼굴 없는 미녀|로드무비,세상끝의 사랑,10005426,김인식,감독
오! 문희|명량: 회오리 바다를 향하여|퍼펙트 게임|최종병기 활|인플루언스|애자|아버지와 마리와 나|밤과 낮|마강호텔|8월의 일요일들|다섯은 너무 많아|누구나 비밀은 있다|파이란,명량: 회오리 바다를 향하여,20158266,정세교,감독
봉오동 전투|사냥|명량: 회오리 바다를 향하여|명량|최종병기 활 감독확장판|최종병기 활|핸드폰|극락도 살인사건|그렇게 김순임은 강두식을 만났다 ,명량: 회오리 바다를 향하여,10006204,김한민,감독
호랑이보다 무서운 겨울손님|꿈보다 해몽|로맨스 조|하하하|잘 알지도 못하면서|해변의 여인|극장전|A+삶|소주와 아이스크림|말로는 힘들어|주민증 갱신기간|시선 사이|인디스데이 6월 단편|6월 수요단편극장 <한여름의 판타지아> 개봉 기념 특별전|7월 단편 상상극장-김새벽의 판타지아|7월 단편 상상극장-이들이 우리의 배우다,꿈보다 해몽,10054828,이광국,감독
극장판 뽀잉: 슈퍼 변신의 비밀|슈퍼레이서 엔지,슈퍼레이서 엔지,20214806,허선,감독
에스엠타운 더 스테이지,에스엠타운 더 스테이지,20213186,배성상,감독
"나쁜 나라|진옥 언니 학교 가다|잊혀진 여전사|땅, 밥 만들기|남매와 진달래 |독립영화인 국가보안법 철폐 프로젝트",나쁜 나라,10005927,김진열,감독
시 읽는 시간|나쁜 나라|깔깔깔 희망버스|감자심포니|우렁각시|미술관 옆 동물원|달 세뇨,나쁜 나라,10056156,이수정,감독
"나의 노래: 메아리|나쁜 나라|구름다리|탐욕의 제국|대추리에 살다|길|할매꽃|불타는 필름의 연대기|대추리 전쟁|슬로브핫의 딸들|자국|416프로젝트 ""망각과 기억"" - 자국|종로, 겨울|인디피크닉2017-단편4 <시대를 비행하는 카메라>|제3회 사람사는세상영화제 공모부문1|SIFF2016-경쟁단편 2",나쁜 나라,10062151,정일건,감독
앨리스: 원더랜드에서 온 소년|심장이 뛰네,앨리스: 원더랜드에서 온 소년,20111756,허은희,감독
황제|펑정지에는 펑정지에다|사랑이 이긴다|너를 부르마|26년|터치|아! 굴업도|포도나무를 베어라|괜찮아 울지마|벌이 날다|설계자|시화공존|감각의 경로 |부엉이의 눈 |가면과 거울|노스텔지아|한국 환경영화의 흐름 단편|네마프2015 글로컬 파노라마 단편1|서울독립영화제2015 특별장편 6|한국 환경영화의 흐름 단편 3,사랑이 이긴다,10027804,민병훈,감독
"그라운드의 이방인|두 번의 결혼식과 한 번의 장례식|슬픈 전설|불꽃처럼 나비처럼|우리 학교|하나를 위하여|와니와 준하|꽃섬|엄마, 아름다운 오월|기린 휴게소|환상극장|귀 鬼",그라운드의 이방인,20068433,김명준,촬영
"중독|광인옥한흠|제자도 - 제자,옥한흠2|순교|제자, 옥한흠|나의 선택-잊혀진 가방 그 못다한 이야기|잊혀진 가방",순교,10004440,김상철,감독
파고|이 세상에 없는|춘몽|오늘영화|산다|일주일|무산일기|시|주리|두한에게|125 전승철|사경(寺景)을 헤매다|어떤 시선,산다,10029163,박정범,감독
기억의 전쟁|반짝이는 박수 소리,반짝이는 박수 소리,20188937,이길보라,감독
마이 페어 웨딩|꽃다운|화기애애|고추 말리기|재희 이야기|데이트|인디포럼2015 특별1,마이 페어 웨딩,10060679,장희선,감독
거짓말|피로|이상한 나라의 바툼바|락커룸|전병 파는 여인,거짓말,10003943,김동명,감독
꾸루꾸루와 친구들: 무지개 나무의 비밀,꾸루꾸루와 친구들: 무지개 나무의 비밀,10026803,문제대,감독
세계일주|모노폴리,세계일주,10058032,이항배,감독
잡식가족의 딜레마|어느날 그 길에서|침묵의 숲|작별|광장의 닭,잡식가족의 딜레마,10090225,황윤,감독
생각보다 맑은|26년|학교 가는 길|코피루왁|[작은영화영화제]인디애니페스트 2018 초대전|콕!애니 - [섹션1] Between : 너와 나의 사이|인디애니유랑단2014 - 성장통|동물과 함께 사는 세상 단편 |인디애니씨앗터 2월,생각보다 맑은,20180788,한지원,감독
"로마서 8:37|동주|프랑스 영화처럼|조류인간|개를 훔치는 완벽한 방법|배우는 배우다|러시안 소설|페어러브|약탈자들|좋은 배우|과대망상자들|내 노래를 들어줘|수주 인 파리|플레이 노 모어|원스 인 어 라이프타임|신연식이 수주와 파리로 간 까닭은? - 신연식 단편선|3월 단편 상상극장-여자, 남자",조류인간,10040499,신연식,감독
로드쇼|망원동 인공위성|요코하마에서의 춤 2008|[인디포럼2016] 신작03 외침과 속삭임|네마프2015 대안영화 단편,망원동 인공위성,20179028,김형주,감독
메기|오늘영화|세 마리|걸스 온 탑|플라이 투 더 스카이|연애다큐|4학년 보경이|라즈 온 에어|엄마를 찾아주세요|제12회 대단한 단편영화제 감독 특별전|포커스 한국단편3|경쟁 2 - 2016 전북독립영화제|SESIFF2016 경쟁4 다른 곳으로부터|AISFF2016 국내경쟁 1|제14회 미쟝센 단편영화제 전년도 수상작2|단편 KAFA 3|어제영화-구교환&이옥섭 감독 단편 |제13회 미쟝센 단편영화제 사랑에 관한 짧은 필름3|제31회 인천시네마테크 - 빛나는 청춘|인디포럼2014 어른들 영화|섹션 3 - 2차실습작|제 7회 여성 인권영화제-그대마음과 만나 피움,오늘영화,10056728,이옥섭,감독
반도|메기|꿈의 제인|우리 손자 베스트|오늘영화|김씨표류기|세 마리|걸스 온 탑|방과 후 티타임 리턴즈|플라이 투 더 스카이|뎀프시롤: 참회록|4학년 보경이|연애다큐|서울생활|Welcome to my home |왜 독립영화 감독들은 DVD를 주지 않는가?|거북이들|구해줘! |남매의 집|죽기직전 그들|포커스 한국단편3|인디스데이 3월 단편|SESIFF2016 경쟁4 다른 곳으로부터|경쟁 2 - 2016 전북독립영화제|AISFF2016 국내경쟁 1|제14회 미쟝센 단편영화제 전년도 수상작3|제14회 미쟝센 단편영화제 사랑에 관한 짧은 필름3|1월 단편 상상극장-해피 뉴 스타|서울독립영화제 2015 특별단편 5|11월 단편 상상극장-제9회 대단한 단편영화제 수상작 모음|2015 GSFF 단편 경쟁 4|SESIFF 2015 경쟁9 - 21세기의 섹스|BiFan2015 판타스틱 단편 걸작선 5|제16회 대구단편영화제 경쟁1|어제영화-구교환&이옥섭 감독 단편 |인디포럼2015 꿈결의 연애담|제13회 미쟝센 단편영화제 희극지왕1|서울연애,오늘영화,20166705,구교환,감독
"내일부터 우리는|아이돌 권한대행 |게임회사 여직원들|대세는 백합|오늘영화|썸남썸녀|출중한 여자|도약선생|은하해방전선|중산층 가정의 대재앙|두근두근 외주용역|두근두근 왓플|백역사|주리|두근두근 꿈의 과학|두근두근 영춘권|신자유청년|두근두근 시국선언|청소년 드라마의 이해와 실제|두근두근 배창호|두근두근 시네마떼끄|두근두근 레드카펫|졸업영화|우익청년 윤성호|나는내가의천검을쥔것처럼|이렇게는 계속할 수 없어요.|산만한 제국 |11월 수요단편극장 ""달콤 쌉싸름한 멜로 영화""|할 수 있는 자가 구하라|황금시대|시선 1318|독립영화인 국가보안법 철폐 프로젝트",오늘영화,20111376,윤성호,감독
오늘영화|튜닝|화기애애|테크노 베이컨시|누가 만들었을까? |강성옥|아무것도|무덤가|11월|김추자: 무인도|매혈|어제영화-강경태 감독 단편,오늘영화,10000489,강경태,감독
고양이 장례식|심판의날,고양이 장례식,10057421,이종훈,감독
"영하의 바람|이,기적인 남자|영도|도다리 - 리덕스|이방인들|두 얼굴의 전쟁 |계단|미싱",영도,20112554,손승웅,감독
로드킬|대가리|독고다이|일진 3|일진 2|메모리즈|일진|미스터 좀비(감독판)|휴가|외도|지렁이|위험한 중독|포장마차|젊은 처제|그리울 련|짓2: 붉은 낙타|어우동: 주인 없는 꽃 무삭제판|어우동: 주인 없는 꽃|연애의 기술|짓|연애의 기술 감독판|전망 좋은 집|전망좋은집:무삭제노출판|미스터좀비,어우동: 주인 없는 꽃,10056145,이수성,감독
"재혼의 기술|발광하는 현대사|늦여름|딥|각자의 미식|게스트하우스|실종2|어떻게 헤어질까|두 개의 연애|어떤이의 꿈|플랑크 상수|산타바바라|내가 고백을 하면|설마 그럴리가 없어|모피를 입은 비너스|돌이킬 수 없는|맛있는 인생|집 나온 남자들|채식주의자|여배우들|집행자|부산|이태원 살인사건|10억|거북이 달린다|키친|오이시맨|로맨틱 아일랜드|이리|비몽|멋진 하루|영화는 영화다|아름답다|중경|별빛 속으로|열세살 수아|아주 특별한 손님|온 더 로드, 투|거칠마루|라스트 씬|화장실, 어디에요?|도쿄!",어떤이의 꿈,10065915,조성규,감독
설해|그 남자의 책 198쪽|바보|화성으로 간 사나이|동감|귀소,설해,10005546,김정권,감독
돌아온다|필름시대사랑|미라클 여행기|영화판,미라클 여행기,20114576,허철,감독
늙은 자전거|연평해전|아이 러브 유|학교전설,늙은 자전거,10026867,문희융,각색
