순위,영화명,개봉일,스크린수,스크린점유율,매출액,누적매출액,관객수,누적관객수
11,목숨,2014-12-04,8,0.4%,628000,282931600,77,36803
12,허삼관,2015-01-14,6,0.3%,6052000,64088000,823,7868
12,오늘의 연애,2015-01-14,6,0.3%,9369000,66570000,1041,7684
14,다이빙벨,2014-10-23,4,0.2%,189000,341520500,25,49288
14,강남 1970,2015-01-21,4,0.2%,11466000,13370000,1274,1512
16,그 사람 그 사랑 그 세상,2014-11-20,3,0.1%,96000,186810500,18,25188
17,자유의 언덕,2014-09-04,2,0.1%,171000,310571827,22,38280
17,파티51,2014-12-11,2,0.1%,34000,14933800,5,2008
17,거인,2014-11-13,2,0.1%,97000,176093400,14,23265
17,"제자, 옥한흠",2014-10-30,2,0.1%,168000,359270200,21,48899
21,떠날 때는 말없이,,1,0.0%,250000,7077000,125,3536
21,카토 프로젝트,2014-04-17,1,0.0%,4000,1914000,2,633
21,미라클 여행기,2015-01-15,1,0.0%,608000,6931000,152,1351
21,경주,2014-06-12,1,0.0%,16000,473397500,2,63495
21,도희야,2014-05-22,1,0.0%,24000,831195100,3,106543
21,1월 단편 상상극장 – 맛있게 먹겠습니다,,1,0.0%,21000,203000,3,29
21,소리굽쇠,2014-10-30,1,0.0%,7000,24111800,1,3060
21,순천,2014-09-04,1,0.0%,10000,22822200,5,3605
21,맨발의 청춘,,1,0.0%,630000,13581000,315,7209
21,앙상블,2014-12-18,1,0.0%,43000,6905500,7,894
1,국제시장,2014-12-17,625,26.7%,1068986400,78991609661,144616,10146564
2,허삼관,2015-01-14,584,24.9%,551479100,615567100,73635,81503
3,오늘의 연애,2015-01-14,577,24.6%,1032903000,1099473000,133838,141522
4,"님아, 그 강을 건너지 마오",2014-11-27,264,11.3%,64991300,36580783379,9090,4696415
5,기술자들,2014-12-24,146,6.2%,28781000,19736744683,3760,2544717
6,워킹걸,2015-01-07,56,2.4%,9121500,1085098979,1186,134144
7,개를 훔치는 완벽한 방법,2014-12-31,23,1.0%,9173700,1684918765,1337,221805
8,쿼바디스,2014-12-10,12,0.5%,1364400,141777300,219,18836
9,목숨,2014-12-04,8,0.3%,466000,283397600,64,36867
9,설해,2015-01-08,8,0.3%,183000,27419500,23,3653
11,상의원,2014-12-24,5,0.2%,504000,6198263964,72,789628
11,더 테너 리리코 스핀토,2014-12-31,5,0.2%,2859000,375039941,387,48526
