,상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회
1059,2018-06-26,04관(SCREENX),"07:20,  미드나잇 선(디지털),  7,000원","09:20,  미드나잇 선(디지털),  7,000원","11:20,  오션스8(디지털),  10,000원",,,"18:55,  탐정: 리턴즈(디지털),  11,000원","21:35,  탐정: 리턴즈(디지털),  11,000원","24:10,  탐정: 리턴즈(디지털),  9,000원","26:50,  탐정: 리턴즈(디지털),  9,000원",,,
1060,2018-06-26,05관,"08:40,  쥬라기 월드: 폴른 킹덤(디지털),  7,000원","11:15,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원","13:50,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","16:35,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","19:25,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","22:05,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원","24:45,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","27:25,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원",,,,
1061,2018-06-26,06관,"09:10,  독전(디지털),  7,000원","11:40,  독전(디지털),  10,000원","14:10,  독전(디지털),  11,000원","16:40,  오션스8(디지털),  11,000원","19:00,  오션스8(디지털),  11,000원","21:20,  독전(디지털),  11,000원","24:00,  독전(디지털),  10,000원","26:35,  독전(디지털),  9,000원",,,,
1062,2018-06-27,01관,"07:10,  마녀(디지털),  7,000원","09:45,  마녀(디지털),  7,000원","12:20,  마녀(디지털),  10,000원","14:55,  마녀(디지털),  11,000원","17:30,  마녀(디지털),  9,000원","20:05,  마녀(디지털),  8,000원","22:50,  마녀(디지털),  10,000원","25:35,  마녀(디지털),  9,000원","28:10,  마녀(디지털),  9,000원",,,
1063,2018-06-27,02관,"06:30,  오션스8(디지털),  7,000원","08:50,  오션스8(디지털),  7,500원","11:10,  미드나잇 선(디지털),  10,000원","13:10,  오션스8(디지털),  11,000원","15:30,  오션스8(디지털),  11,000원","18:00,  오션스8(디지털),  8,000원","20:20,  오션스8(디지털),  8,000원","22:40,  탐정: 리턴즈(디지털),  10,000원","25:05,  탐정: 리턴즈(디지털),  9,000원","27:30,  탐정: 리턴즈(디지털),  10,000원",,
1064,2018-06-27,03관,"08:00,  탐정: 리턴즈(디지털),  7,000원","10:25,  탐정: 리턴즈(디지털),  10,000원","12:50,  탐정: 리턴즈(디지털),  10,000원","15:15,  탐정: 리턴즈(디지털),  11,000원","17:50,  탐정: 리턴즈(디지털),  10,000원","20:15,  탐정: 리턴즈(디지털),  8,000원",,"26:05,  탐정: 리턴즈(디지털),  9,000원","28:30,  탐정: 리턴즈(디지털),  8,000원",,,
1065,2018-06-27,04관(SCREENX),"07:30,  허스토리(디지털),  7,000원","10:00,  독전(디지털),  10,000원","12:35,  허스토리(디지털),  9,000원","15:05,  독전(디지털),  11,000원","17:40,  허스토리(디지털),  5,000원","20:10,  독전(디지털),  9,000원",,"26:20,  시카리오: 데이 오브 솔다도(디지털),  9,000원",,,,
1066,2018-06-27,05관,"07:00,  탐정: 리턴즈(디지털),  7,000원","09:35,  시카리오: 데이 오브 솔다도(디지털),  7,000원","12:10,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원","14:45,  시카리오: 데이 오브 솔다도(디지털),  11,000원","17:20,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원","20:00,  시카리오: 데이 오브 솔다도(디지털),  9,000원","22:30,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원","25:15,  시카리오: 데이 오브 솔다도(디지털),  10,000원","27:50,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원",,,
1067,2018-06-27,06관,"06:50,  시카리오: 데이 오브 솔다도(디지털),  9,000원","09:20,  허스토리(디지털),  7,000원","11:50,  시카리오: 데이 오브 솔다도(디지털),  10,000원","14:25,  허스토리(디지털),  11,000원","17:00,  시카리오: 데이 오브 솔다도(디지털),  8,000원","19:35,  허스토리(디지털),  10,000원","22:10,  시카리오: 데이 오브 솔다도(디지털),  10,000원","24:40,  허스토리(디지털),  7,000원","27:20,  시카리오: 데이 오브 솔다도(디지털),  7,000원",,,
1068,2018-06-28,01관,"07:20,  마녀(디지털),  8,000원","09:55,  마녀(디지털),  7,000원","12:30,  마녀(디지털),  10,000원","15:05,  마녀(디지털),  11,000원","17:40,  마녀(디지털),  11,000원","20:15,  마녀(디지털),  11,000원","22:50,  마녀(디지털),  10,000원","25:25,  마녀(디지털),  9,000원","28:05,  마녀(디지털),  9,000원",,,
