movieCd,movieNm,감독1,감독1코드,감독1성별,감독2,감독2코드,감독2성별,감독3,감독3코드,감독3성별,감독4,감독4코드,감독4성별
20159772,수색역,최승연,20175840,남자,,,,,,,,,
20160041,인천상륙작전 : 익스텐디드 에디션(확장판),이재한,10057235,남자,,,,,,,,,
20160465,메리 크리스마스 미스터 모,임대형,20189542,남자,,,,,,,,,
20160472,두 남자,이성태,20244789,남자,,,,,,,,,
20160477,나의 연기 워크샵,안선경,10043363,여자,,,,,,,,,
20160483,꿈의 제인,조현훈,20244811,남자,,,,,,,,,
20160484,누에치던 방,이완민,10056778,여자,,,,,,,,,
20160503,분장,남연우,20166701,남자,,,,,,,,,
20160504,"춘천, 춘천",장우진,20166880,남자,,,,,,,,,
20160522,아기와 나,손태겸,20112723,남자,,,,,,,,,
20160746,파밍 보이즈,장세정,20177901,여자,변시연,20189617,여자,강호준,20189616,남자,,,
20161364,귀향,조정래,10066934,남자,,,,,,,,,
20161366,"그래, 가족",마대윤,10021332,남자,,,,,,,,,
20161589,죽여주는 여자,이재용,10057210,남자,,,,,,,,,
20161603,순종,이주훈,20246329,남자,김동민,20246309,남자,,,,,,
20161681,미옥,이안규,10056570,남자,,,,,,,,,
20161694,"제자도 - 제자,옥한흠2",김상철,10004440,남자,,,,,,,,,
20161701,위켄즈,이동하,20231946,남자,,,,,,,,,
20161722,히야,김지연,20140497,여자,,,,,,,,,
20161723,싱글라이더,이주영,20232106,여자,,,,,,,,,
20161724,스타박'스 다방,이상우,20111446,남자,,,,,,,,,
20161725,마스터,조의석,10066810,남자,,,,,,,,,
20161726,임금님의 사건수첩,문현성,20125803,남자,,,,,,,,,
20161762,반드시 잡는다,김홍선,20125826,남자,,,,,,,,,
20161806,비치온더비치,정가영,20237286,여자,,,,,,,,,
20161923,시간위의 집,임대웅,10058504,남자,,,,,,,,,
20161961,나는 증인이다,안상훈,20111254,남자,,,,,,,,,
20162022,대결,신재호,20111176,남자,,,,,,,,,
20162140,려행,임흥순,20120501,남자,,,,,,,,,
20162181,프리즌,나현,10007424,남자,,,,,,,,,
20162242,우주의 크리스마스,김경형,10003582,남자,,,,,,,,,
20162343,악녀,정병길,10061761,남자,,,,,,,,,
20162361,환절기,이동은,20233786,남자,,,,,,,,,
20162381,일사각오,권혁만,20195495,남자,고문안,20269333,남자,,,,,,
20162431,극장판 프랭키와 친구들: 생명의 나무,박정오,20134495,남자,,,,,,,,,
20162442,청년경찰,김주환,20112387,남자,,,,,,,,,
20162461,다이노X 탐험대,이동희,20234026,남자,,,,,,,,,
20162541,춘몽,장률,10060143,남자,,,,,,,,,
20162545,"무현, 두 도시 이야기",전인환,20153728,남자,,,,,,,,,
20162546,워킹 스트리트,이상우,20111446,남자,,,,,,,,,
20162608,나의 살던 고향은,류종헌,20247050,남자,,,,,,,,,
20162684,탐욕의 별,공귀현,20112654,남자,,,,,,,,,
20162704,극장판 안녕 자두야,손석우,20234506,남자,,,,,,,,,
20162722,보안관,김형주,20131894,남자,,,,,,,,,
20162871,특별시민,박인제,20110676,남자,,,,,,,,,
20162927,오 마이 파파,박혁지,20187247,남자,,,,,,,,,
20162969,물숨,고희영,20193079,여자,,,,,,,,,
